# CurlyM omega_L omega_m logL logPrior
-2.764792620988357097e+00 -9.693974462276255810e-02 1.428660573121475430e+00 -4.681068017010924365e+01 0.000000000000000000e+00
-2.802965974485102318e+00 2.229325550332856287e-01 7.130940802820935343e-01 -6.688462333838458562e+01 0.000000000000000000e+00
-2.512706370681714763e+00 -4.742372586677360280e-01 1.043832699305305312e+00 -9.747253238991342528e+01 0.000000000000000000e+00
-2.384047690675004993e+00 8.080586674476917253e-01 9.572870821444701139e-03 -5.265793543066944267e+02 0.000000000000000000e+00
-2.166654975900400348e+00 2.223958876716464195e-01 1.419911320974851954e+00 -3.297511436158130778e+02 0.000000000000000000e+00
-2.383447088420371784e+00 5.478734272557537199e-01 9.256594365136655567e-01 -2.755216407527607885e+02 0.000000000000000000e+00
-2.076917160289190711e+00 7.809815816630827356e-01 5.657125229470266747e-01 -6.771541432727271967e+02 0.000000000000000000e+00
-3.053297226484104510e+00 -4.985828982854763614e-01 1.426769294753688966e+00 -7.758471825838313407e+01 0.000000000000000000e+00
-2.880545117732941307e+00 3.117572926682584677e-01 4.846916880774323477e-01 -6.530689096419803263e+01 0.000000000000000000e+00
-2.662666561344058991e+00 -1.285288040552963751e-01 5.376869274989858338e-01 -9.029984586630683907e+01 0.000000000000000000e+00
-3.150829665907462385e+00 -2.847369741934567267e-01 1.394782202749369704e+00 -9.476122138197860068e+01 0.000000000000000000e+00
-2.389807281806764827e+00 -2.171053651435551901e-01 5.744999068917697738e-01 -2.005571101017839055e+02 0.000000000000000000e+00
-2.219920698694429984e+00 7.887091801412585701e-01 8.961488743767017651e-01 -4.609924575738667158e+02 0.000000000000000000e+00
-3.094200232243637050e+00 7.726060733064974428e-01 7.031500855602976774e-01 -5.303237907907429616e+01 0.000000000000000000e+00
-3.255211433628237838e+00 3.372627524252115871e-01 3.070851414167008464e-02 -5.747449623796968154e+01 0.000000000000000000e+00
-2.935224577220738151e+00 5.785967747911274772e-01 1.391419766124882607e+00 -4.467775194794891291e+01 0.000000000000000000e+00
-2.730732103861759352e+00 -2.170651111051595805e-01 1.379797245565004715e+00 -4.903845524968337344e+01 0.000000000000000000e+00
-2.503600741281265307e+00 -4.884399771364528187e-02 1.010540972148158190e+00 -1.303750109404113857e+02 0.000000000000000000e+00
-3.127940074031098305e+00 2.898503140077826612e-01 1.297663932624298910e+00 -5.967028224572364792e+01 0.000000000000000000e+00
-2.285847865086112929e+00 -3.634033222295797172e-01 1.136670736722619646e+00 -2.046113364298052488e+02 0.000000000000000000e+00
-3.021569789241969506e+00 1.703512187356991392e-01 8.532737449176079902e-01 -4.356850980401608098e+01 0.000000000000000000e+00
