# CurlyM omega_L omega_m logL logPrior
-2.870235716804051318e+00 -9.052445033450979839e-01 4.222536200324211730e-01 -4.185871819672900784e+01 0.000000000000000000e+00
-2.964458558528748178e+00 -5.137923137987704392e-01 1.560145391897285183e-01 -4.175601890287939710e+01 0.000000000000000000e+00
-2.905361787447453104e+00 -8.167213557672954316e-01 2.100277129326353492e-02 -4.101298556612271540e+01 0.000000000000000000e+00
-2.705202861548589244e+00 -1.132810227360716127e+00 1.162491863269269121e+00 -4.545066000070628576e+01 0.000000000000000000e+00
-2.763536344444330162e+00 -6.952554653361081582e-01 9.157498706050706261e-01 -4.393432355889346042e+01 0.000000000000000000e+00
-2.852821840847980628e+00 -1.001147348398813808e+00 3.911749657480783071e-01 -4.184483744709977060e+01 0.000000000000000000e+00
-2.845233602602682765e+00 -1.141720623939046053e+00 7.067244299355124326e-03 -4.102989064748643244e+01 0.000000000000000000e+00
-2.898732837559784947e+00 -3.513358430471353322e-01 6.311612040390203182e-01 -4.160957383796881714e+01 0.000000000000000000e+00
-2.848735431300958965e+00 -4.335905295233999368e-01 9.323208857612095279e-01 -4.186084650581108946e+01 0.000000000000000000e+00
-2.676064563634485083e+00 -5.262012518829970453e-01 1.047014364308612500e+00 -5.476887245018999550e+01 0.000000000000000000e+00
-3.212720824431661626e+00 4.884350841593274595e-01 8.754554780142289605e-01 -5.908055735109400786e+01 0.000000000000000000e+00
-2.917214039312091778e+00 -5.307426055958424510e-02 1.010103824598711508e+00 -4.184116779916002571e+01 0.000000000000000000e+00
-2.861357069067377079e+00 -9.253625173752975108e-01 1.614630584653545808e-01 -4.108370130889462502e+01 0.000000000000000000e+00
-2.853949677104292260e+00 -7.883653794843671347e-01 4.730116709220256732e-01 -4.139454139006455335e+01 0.000000000000000000e+00
-2.685659802584805966e+00 -1.755016350819578630e+00 2.405302740135848577e-02 -4.540885433397784965e+01 0.000000000000000000e+00
-2.859737411114449568e+00 -4.100362967457416574e-01 3.850639646552040940e-01 -4.446757449657682315e+01 0.000000000000000000e+00
-2.729801509656527791e+00 -1.055828025945580784e+00 6.352174467471587427e-01 -4.468425343421574070e+01 0.000000000000000000e+00
-2.851939147259868079e+00 -1.085874215548315203e+00 2.273017669329014945e-01 -4.150241640318599678e+01 0.000000000000000000e+00
-2.807951579922818297e+00 -6.083651047656992716e-01 1.178005053962190241e+00 -4.286879060676638886e+01 0.000000000000000000e+00
-2.857201062884433540e+00 2.461440982217943385e-01 1.648077266487167458e+00 -4.290437379967013243e+01 0.000000000000000000e+00
-2.890870164614954163e+00 -7.156113872868659076e-01 2.878213748673955630e-01 -4.113323720228350311e+01 0.000000000000000000e+00
