# CurlyM omega_L omega_m logL logPrior
-2.115974012584939778e+00 1.907907579577340140e+00 4.611498207004167127e-01 -1.575676543840973636e+03 0.000000000000000000e+00
-2.010253242091791570e+00 1.727088886992609762e+00 3.989436885275370326e-01 -1.513510653030267122e+03 0.000000000000000000e+00
-2.103916339354910292e+00 1.742478387476897428e+00 3.893689564704654327e-01 -1.396931688790374665e+03 0.000000000000000000e+00
-2.277600816756795599e+00 1.834171300291591145e+00 3.532933704172666056e-01 -1.379501378605450782e+03 0.000000000000000000e+00
-2.001659364738142433e+00 1.873991907177227301e+00 7.651497859800481249e-01 -1.339794968340902415e+03 0.000000000000000000e+00
-2.038180402228077170e+00 1.267183478926277473e+00 4.419156337486340735e-02 -1.252952030515314391e+03 0.000000000000000000e+00
-2.105416514942849204e+00 1.825592906842607555e+00 6.212279333130772407e-01 -1.251875013154490262e+03 0.000000000000000000e+00
-2.338536006678852086e+00 1.803134750022546751e+00 4.148236906417392955e-01 -1.108951389116661176e+03 0.000000000000000000e+00
-2.190463734958739916e+00 1.529352821500740811e+00 2.775294655875714112e-01 -1.107187892638764879e+03 0.000000000000000000e+00
-2.010134744138089680e+00 1.274056495646467724e+00 3.454852864363949227e-01 -1.091201601406514555e+03 0.000000000000000000e+00
-2.102867482252070985e+00 1.877251585507633269e+00 9.989979211949209237e-01 -1.031226087959664255e+03 0.000000000000000000e+00
-2.126004139458825382e+00 1.467911780105325192e+00 4.249909370409336029e-01 -1.028432396918843097e+03 0.000000000000000000e+00
-2.023515089864638572e+00 1.570807562795885515e+00 8.588127500361141253e-01 -1.007012971496899013e+03 0.000000000000000000e+00
-2.088641449148201268e+00 1.233983675271469238e+00 2.715550750301402583e-01 -9.939864109114606663e+02 0.000000000000000000e+00
-2.187201728806588363e+00 1.839547545313787058e+00 8.419898519969464257e-01 -9.809383565689258830e+02 0.000000000000000000e+00
-2.532693186125343665e+00 1.795120629012538105e+00 3.291330117478770134e-01 -9.768112351677859806e+02 0.000000000000000000e+00
-2.021168678622250248e+00 1.258316924273483295e+00 5.492444144899647496e-01 -9.647865070927291526e+02 0.000000000000000000e+00
-2.038151428947514887e+00 1.090974288228133915e+00 2.909460069888109568e-01 -9.597916311465522767e+02 0.000000000000000000e+00
-2.289150876902676490e+00 1.682313115857863250e+00 4.901178565976229695e-01 -9.526395780507031077e+02 0.000000000000000000e+00
-2.105187558152422866e+00 1.992453361873238737e+00 1.322379296770008761e+00 -9.391882415336023087e+02 0.000000000000000000e+00
-2.146251255839088490e+00 1.875365895672949978e+00 1.141524746370462084e+00 -8.979599071996905195e+02 0.000000000000000000e+00
-2.491901198833725406e+00 1.696554566219038884e+00 3.142581312189993703e-01 -8.788313014412939310e+02 0.000000000000000000e+00
-2.375499760409021999e+00 1.311931909443140309e+00 1.598738702030422232e-03 -8.746843863169406177e+02 0.000000000000000000e+00
-2.010095211397401105e+00 1.539931032575423631e+00 1.231382665143120114e+00 -8.623371776211133692e+02 0.000000000000000000e+00
-2.234139529980080141e+00 1.534823447218023107e+00 6.042846094281206781e-01 -8.334574784468502457e+02 0.000000000000000000e+00
-2.004931851659463860e+00 1.497876458708114367e+00 1.372734389412775258e+00 -8.072580004778058083e+02 0.000000000000000000e+00
-2.221415760030549524e+00 1.726048392604924153e+00 9.563108718200634684e-01 -7.991073946630535829e+02 0.000000000000000000e+00
-2.675858761760849802e+00 1.956528634159078406e+00 5.180019218829494676e-01 -7.928465727279112798e+02 0.000000000000000000e+00
-2.259761313283871420e+00 1.657862775722782622e+00 7.856465151987652717e-01 -7.910115738901938585e+02 0.000000000000000000e+00
-2.121642685412529872e+00 1.204709740710661725e+00 6.018106230209604446e-01 -7.866277926558718718e+02 0.000000000000000000e+00
-2.110414237657773473e+00 1.534724499070102555e+00 1.080566739431611190e+00 -7.858644251607569231e+02 0.000000000000000000e+00
-2.080575479091560265e+00 1.514332774329946396e+00 1.165542771677241074e+00 -7.846063279633605134e+02 0.000000000000000000e+00
-2.213520585097285220e+00 1.409973971525707359e+00 6.447535057311762907e-01 -7.647627719894351230e+02 0.000000000000000000e+00
-2.090915354733394071e+00 7.284884779712766933e-01 2.063262484680810638e-01 -7.436259236019786840e+02 0.000000000000000000e+00
-2.125682640676546775e+00 1.983666414640610887e+00 1.763923935754493799e+00 -7.415656406978221185e+02 0.000000000000000000e+00
-2.397353292967431937e+00 1.475856156517316053e+00 3.505264239578612662e-01 -7.394912938252174399e+02 0.000000000000000000e+00
-2.080657645388169108e+00 6.928630870720665635e-01 2.171073119744894586e-01 -7.376007525081689664e+02 0.000000000000000000e+00
-2.394804014878284093e+00 1.924024627966384404e+00 9.495058694473479388e-01 -7.248827007862912524e+02 0.000000000000000000e+00
-2.255383953275187814e+00 1.057900401328196516e+00 1.788390009935054425e-01 -7.200111203145147556e+02 0.000000000000000000e+00
-2.035858771645826515e+00 1.396284253851707291e+00 1.499527674532968868e+00 -7.000148126290622486e+02 0.000000000000000000e+00
-2.690769927967140429e+00 1.916578523724134397e+00 5.342669569384277395e-01 -6.985963878689965441e+02 0.000000000000000000e+00
-2.044063685907330896e+00 1.477370828047855689e+00 1.585221602201035029e+00 -6.967318811232474900e+02 0.000000000000000000e+00
-2.235276799860810737e+00 1.603777153673928479e+00 1.014939306681767572e+00 -6.949153308008419572e+02 0.000000000000000000e+00
-2.583658987041391963e+00 1.729165559315936740e+00 4.370295596826113682e-01 -6.923512274366289603e+02 0.000000000000000000e+00
-2.114637721045110386e+00 1.368182653325874298e+00 1.149196377708380901e+00 -6.903347162798669387e+02 0.000000000000000000e+00
-2.345282283347827512e+00 1.724289746550167202e+00 8.844480775537397754e-01 -6.864846212834618200e+02 0.000000000000000000e+00
-2.236685676028443925e+00 1.942571966525846960e+00 1.485327754976095704e+00 -6.864451331174458346e+02 0.000000000000000000e+00
-2.400917504124702617e+00 1.285373312347033448e+00 2.209525599513356697e-01 -6.740209220303186157e+02 0.000000000000000000e+00
-2.432327601493332825e+00 1.653858085738973971e+00 6.372628773680770742e-01 -6.661176237633711708e+02 0.000000000000000000e+00
-2.528615460142190852e+00 1.597467609328320881e+00 3.912348862328948740e-01 -6.656878785694165117e+02 0.000000000000000000e+00
-2.075909497106974477e+00 1.521637685693097097e+00 1.639050305988416723e+00 -6.622737267750683259e+02 0.000000000000000000e+00
-2.135298681852787706e+00 1.187358502914805491e+00 9.461293826544453500e-01 -6.558987178863068266e+02 0.000000000000000000e+00
