# CurlyM omega_L omega_m logL logPrior
-3.072555814640900884e+00 -3.811790024169761648e-01 2.733803325794246786e-01 -4.878609529030145353e+01 0.000000000000000000e+00
-2.801313451830134138e+00 5.278653184810485621e-01 1.915249840710257834e+00 -4.833714848648040885e+01 0.000000000000000000e+00
-3.108979063568653167e+00 3.758774058682057273e-01 4.137965681286672748e-01 -4.810181071049432688e+01 0.000000000000000000e+00
-3.020179071993340791e+00 -1.156524851315704761e-01 9.715927530321173400e-01 -4.778323668853253281e+01 0.000000000000000000e+00
-2.712735482714589974e+00 -1.233149468399641790e+00 1.451977238118175029e+00 -4.753133281632479878e+01 0.000000000000000000e+00
-2.765893584984648434e+00 -7.164854848737820525e-01 1.869822336530717832e+00 -4.752244362285119195e+01 0.000000000000000000e+00
-2.752920210769348230e+00 -2.535922179152633182e-01 1.238742919969486600e+00 -4.747321063685451037e+01 0.000000000000000000e+00
-2.668765364898780135e+00 -1.365844674186052154e+00 6.444169644620554305e-01 -4.709547121792363811e+01 0.000000000000000000e+00
-2.856088666106217033e+00 -1.178561434595723351e-01 6.549568517435385706e-01 -4.696896659167565957e+01 0.000000000000000000e+00
-2.758055567286580967e+00 -8.953258810649531441e-01 2.578940557916783449e-01 -4.691062219095801566e+01 0.000000000000000000e+00
-3.017080529645047360e+00 -3.065245781294550498e-01 6.729986946563384365e-01 -4.680547656945621071e+01 0.000000000000000000e+00
-2.673984533924504525e+00 -1.227493527831733378e+00 1.254270264167093307e+00 -4.674399768268830968e+01 0.000000000000000000e+00
-2.827277299127822108e+00 -3.537468738182175110e-01 1.918854220387111731e+00 -4.672741721003155391e+01 0.000000000000000000e+00
-2.870413278498337828e+00 -1.059255315714370038e+00 7.297467982664417319e-01 -4.668191175519097413e+01 0.000000000000000000e+00
-2.765935537392718135e+00 -7.188419077004728486e-01 1.774973408171452549e+00 -4.667794574830917753e+01 0.000000000000000000e+00
-3.021867792624793214e+00 2.178628939477934012e-01 1.314719426700589944e+00 -4.666137910019285329e+01 0.000000000000000000e+00
-3.089151662227518802e+00 1.002030953762475640e+00 1.451328248778940955e+00 -4.660416606716261612e+01 0.000000000000000000e+00
-3.050764054478525722e+00 4.413720111623810061e-01 6.662791518393256229e-01 -4.656443134627229341e+01 0.000000000000000000e+00
-2.977837007918897161e+00 5.336856402927344645e-01 1.014512842069327458e+00 -4.637900392500402091e+01 0.000000000000000000e+00
-2.734290208578626480e+00 -1.027890127516805530e+00 1.469236165411227146e+00 -4.630518244705570652e+01 0.000000000000000000e+00
-3.096334267718138467e+00 3.318539691115797163e-01 6.308595925383482239e-01 -4.629113603416357847e+01 0.000000000000000000e+00
-3.000678566466877140e+00 6.024761205371109707e-01 1.043272246620986721e+00 -4.620683771916440463e+01 0.000000000000000000e+00
-2.744066821269071532e+00 -1.183806996555942570e+00 2.754310796464968375e-02 -4.613226324818331392e+01 0.000000000000000000e+00
-3.085031021369819548e+00 8.365938912196974053e-01 1.316009085734015205e+00 -4.609267145549092248e+01 0.000000000000000000e+00
-3.079964920317402211e+00 -2.881005846692946681e-02 4.222860014816813834e-01 -4.608522531403280453e+01 0.000000000000000000e+00
-2.862109001543880815e+00 -8.930922190245194070e-01 9.479813630737943253e-01 -4.602046355766639607e+01 0.000000000000000000e+00
