# CurlyM omega_L omega_m logL logPrior
-3.156480669407210726e+00 -1.280261117061566090e+00 1.336963491315148245e+00 -5.046347657693757327e+01 0.000000000000000000e+00
-2.536314036599573551e+00 -1.381225221249884061e-01 9.222369397137954172e-02 -4.512284638966841754e+01 0.000000000000000000e+00
-2.014576191250474935e+00 -8.092504096289397930e-01 7.215043051741419911e-01 -4.503497721667248044e+01 0.000000000000000000e+00
-3.243531588477763350e+00 -1.420433987665752351e+00 1.481719564798784639e+00 -4.492701541535495124e+01 0.000000000000000000e+00
-2.256474247167848723e+00 -8.406378723006623366e-01 7.730017717194689331e-01 -4.447826030951237186e+01 0.000000000000000000e+00
-3.001540784076068835e+00 -8.370823447660773464e-01 8.462689076293659074e-01 -4.440598669149830613e+01 0.000000000000000000e+00
-3.089876603345552919e+00 -1.430933618562115095e+00 1.469948933591626483e+00 -4.437209657991520118e+01 0.000000000000000000e+00
-2.285530135145927400e+00 -7.452604288675085398e-01 6.919079976609069371e-01 -4.436377622171689694e+01 0.000000000000000000e+00
-2.371205502281318989e+00 -8.835153966957801641e-01 8.419361215176714985e-01 -4.431065419469226896e+01 0.000000000000000000e+00
-2.065228019208109167e+00 -5.428669985745309123e-01 4.599106975033380729e-01 -4.409549391267029961e+01 0.000000000000000000e+00
-2.695450695303748034e+00 -3.394336966991391979e-01 2.957272755596205283e-01 -4.404232685520531021e+01 0.000000000000000000e+00
-2.823706641123080008e+00 -9.601680013821827231e-01 9.550083104561525316e-01 -4.400403499816005848e+01 0.000000000000000000e+00
-2.331961355767405042e+00 -3.854735015892836736e-01 3.029769716843784266e-01 -4.393134508541697159e+01 0.000000000000000000e+00
-2.611494591159186029e+00 -6.972840679063428970e-01 6.596338362800346911e-01 -4.363406207743738463e+01 0.000000000000000000e+00
-2.967669027109626878e+00 -2.451096799110842883e-01 2.327940668061767582e-01 -4.361509432198460701e+01 0.000000000000000000e+00
-2.062754183689304188e+00 -5.748433424186981666e-01 4.914311721994860105e-01 -4.358726409907308863e+01 0.000000000000000000e+00
-2.707558656482411230e+00 -7.976338704160883530e-01 7.744640543015506307e-01 -4.356626010365244639e+01 0.000000000000000000e+00
-2.769173491487491034e+00 -1.216216383894339170e+00 1.218340843278901353e+00 -4.351893301929624869e+01 0.000000000000000000e+00
-2.769141690394708366e+00 -1.203289066031057786e+00 1.207374619601413235e+00 -4.336625575805958732e+01 0.000000000000000000e+00
-3.038825677274870518e+00 -1.214849190643301213e+00 1.243405298429230088e+00 -4.334365893173617934e+01 0.000000000000000000e+00
-2.856190188828017895e+00 -1.241251628030921372e+00 1.254825582833940079e+00 -4.329161481418547197e+01 0.000000000000000000e+00
-2.389888301779054203e+00 -7.960113962261307075e-01 7.537282447697601917e-01 -4.325426864957616857e+01 0.000000000000000000e+00
-2.995090967718767594e+00 -1.207354683475908574e+00 1.231321218992859290e+00 -4.325104698257498370e+01 0.000000000000000000e+00
-2.169733588206280928e+00 -3.555305372627743932e-01 2.545590779639599344e-01 -4.319959000494552726e+01 0.000000000000000000e+00
-2.417537206401075611e+00 -8.576744152356194917e-01 8.086236773398176592e-01 -4.315966116858646018e+01 0.000000000000000000e+00
-3.184929800115807730e+00 -7.642306727673802147e-01 7.972820569200381735e-01 -4.315069714258959976e+01 0.000000000000000000e+00
-3.012451874302987775e+00 -3.036855704060421601e-01 3.045416405566285789e-01 -4.312789650678018205e+01 0.000000000000000000e+00
-2.134541809803290224e+00 -6.330947348364842631e-01 5.582787072283557084e-01 -4.309583820414909638e+01 0.000000000000000000e+00
-2.980780229762074462e+00 -8.496871130505185832e-01 8.703469638709351308e-01 -4.303582255981326199e+01 0.000000000000000000e+00
-3.055676976658138866e+00 -1.202709894494152554e+00 1.234075530847360769e+00 -4.303126479003064020e+01 0.000000000000000000e+00
-2.191325562270229899e+00 -4.357600132156628225e-01 3.633600469837193203e-01 -4.299680541302908665e+01 0.000000000000000000e+00
-2.283275224029084782e+00 -8.492992991544341397e-01 7.895174322376590226e-01 -4.293455364951058328e+01 0.000000000000000000e+00
-2.902127079361865647e+00 -9.691233310130265011e-01 9.744965339080452482e-01 -4.293215873826060403e+01 0.000000000000000000e+00
-2.218163435525112526e+00 -7.242408866800641443e-01 6.494189057934141029e-01 -4.287739645517722664e+01 0.000000000000000000e+00
-2.945613405793844120e+00 -1.178125193343900756e+00 1.197373569578945807e+00 -4.287093721053258122e+01 0.000000000000000000e+00
-3.096574669142277525e+00 -5.593844660551656744e-01 5.788857749824178889e-01 -4.284873766514376570e+01 0.000000000000000000e+00
-2.710542709082416568e+00 -1.063856419321505209e+00 1.059427437738726940e+00 -4.272880701031984785e+01 0.000000000000000000e+00
-2.521074832074162941e+00 -9.183881003546596755e-01 8.835335064428923024e-01 -4.270731269887846082e+01 0.000000000000000000e+00
-2.822406150812445169e+00 -5.076361887117762928e-01 5.024038295745290039e-01 -4.269972316870407525e+01 0.000000000000000000e+00
-3.132311820459939611e+00 -7.033161368165961047e-01 7.295559774436101153e-01 -4.269078659651500374e+01 0.000000000000000000e+00
-2.774461817592291712e+00 -4.309026821607215840e-01 4.017448471100202312e-01 -4.268669692358950130e+01 0.000000000000000000e+00
-2.829650632196079041e+00 -6.294229021732006268e-02 3.216325315319645828e-02 -4.266718069522730872e+01 0.000000000000000000e+00
-2.646689448027071290e+00 -8.407487498698364980e-01 8.268276051056328013e-01 -4.265588280263309429e+01 0.000000000000000000e+00
-3.128911837710585786e+00 -7.226001959462839963e-01 7.481999333372886252e-01 -4.265309695768373643e+01 0.000000000000000000e+00
-2.394642547029607105e+00 -8.992722741460386082e-01 8.542500447144416587e-01 -4.260579373059520236e+01 0.000000000000000000e+00
-2.392178190993058173e+00 -8.545953133316211980e-01 8.046500510405062423e-01 -4.259130818733377311e+01 0.000000000000000000e+00
-2.950513024965579767e+00 -3.100866329699951685e-01 2.994262313754106897e-01 -4.258027640850196605e+01 0.000000000000000000e+00
-2.742996274801585699e+00 -6.658898892309376150e-01 6.426858368484796857e-01 -4.254177727325846803e+01 0.000000000000000000e+00
-2.535206100797952278e+00 -5.395607276134168906e-01 5.064419497267530490e-01 -4.240886783035951879e+01 0.000000000000000000e+00
-2.727821031062187984e+00 -9.972785007510389654e-01 9.872763605035048684e-01 -4.238951817763612695e+01 0.000000000000000000e+00
-2.527336729199349374e+00 -2.555532667512263045e-01 2.114788728502373372e-01 -4.233944189971210648e+01 0.000000000000000000e+00
-2.917767572678135579e+00 -1.028536146502662119e+00 1.044977443146237750e+00 -4.232862483700916556e+01 0.000000000000000000e+00
-2.968158773612342927e+00 -5.934956033940033127e-01 6.037799795491715082e-01 -4.232139750186215821e+01 0.000000000000000000e+00
-2.626309308543279819e+00 -7.121623542840913590e-01 6.785990470023659515e-01 -4.231946851027158374e+01 0.000000000000000000e+00
-2.261829636082392181e+00 -6.308225729404982607e-01 5.557373711121216253e-01 -4.227429524216373835e+01 0.000000000000000000e+00
-3.004064643071711505e+00 -5.528929479028551475e-01 5.569798765041623634e-01 -4.226255603471461342e+01 0.000000000000000000e+00
-3.025340392702184911e+00 -7.947203588622619996e-01 8.160440999800557815e-01 -4.224646034436168662e+01 0.000000000000000000e+00
-2.920793801878293738e+00 -4.029811543025917375e-01 3.916907011835463193e-01 -4.217441906483360725e+01 0.000000000000000000e+00
-2.945437763602275716e+00 -1.045368301189155025e+00 1.061729058547185689e+00 -4.214023240610362819e+01 0.000000000000000000e+00
-2.701269302594028865e+00 -9.158773126298835887e-01 8.998181755324154985e-01 -4.213898240490276947e+01 0.000000000000000000e+00
-2.972123375838397141e+00 -3.628158885675425438e-01 3.591029146956187246e-01 -4.202715101925461028e+01 0.000000000000000000e+00
-2.271502425087658761e+00 -6.547863433636178510e-01 5.945773175787383291e-01 -4.202633810694897676e+01 0.000000000000000000e+00
-2.941975547953338932e+00 -7.124676660888882296e-01 7.147373118761088939e-01 -4.199209285563549798e+01 0.000000000000000000e+00
-3.044754483261313815e+00 -6.388737668825811289e-01 6.529465561062230972e-01 -4.193533274674951628e+01 0.000000000000000000e+00
-2.461701215353874428e+00 -8.366720940425437236e-01 7.997964811952489317e-01 -4.189346053906910328e+01 0.000000000000000000e+00
-2.326004962601934345e+00 -3.970744281773260775e-01 3.369447655746581338e-01 -4.188194833498479142e+01 0.000000000000000000e+00
-2.047305586824835100e+00 -5.696493304069158992e-01 4.810390813350876593e-01 -4.188181641004462819e+01 0.000000000000000000e+00
-2.576269996862807332e+00 -6.800993407925802758e-01 6.405439807812437492e-01 -4.185274805189767022e+01 0.000000000000000000e+00
-2.908506248499719504e+00 -6.083393934701919470e-01 6.128865631342655940e-01 -4.180571515269637217e+01 0.000000000000000000e+00
-2.907157044554146363e+00 -3.832538194512954410e-01 3.704688698793536239e-01 -4.180530788708860968e+01 0.000000000000000000e+00
-2.479483309440536853e+00 -7.456650216443823087e-01 7.101340362079161528e-01 -4.179575483980072903e+01 0.000000000000000000e+00
