# CurlyM omega_L omega_m logL logPrior
-3.008726886347602658e+00 -1.419883257030889467e+00 1.545238143972025746e+00 -1.123480188224538381e+02 0.000000000000000000e+00
-2.468637874119426368e+00 5.626556932951700674e-01 1.395443199883365626e+00 -1.793820908447849831e+02 0.000000000000000000e+00
-3.156221157200146177e+00 -8.614452692763422403e-01 4.326911716276227171e-01 -8.990303363553388749e+01 0.000000000000000000e+00
-3.378071431252858137e+00 7.580906736200678786e-01 6.268273936673414148e-01 -7.688578178190434187e+01 0.000000000000000000e+00
-2.857509517341848326e+00 -1.804777823845644225e+00 6.441850413219025739e-01 -6.104489380756863426e+01 0.000000000000000000e+00
-2.143194001612449551e+00 3.813906644082647457e-01 1.656658660865258037e+00 -3.469868219149452671e+02 0.000000000000000000e+00
-3.272778440211774331e+00 1.368555504233876174e+00 9.428207060021471797e-01 -6.417887748238044310e+01 0.000000000000000000e+00
-2.664390580594041769e+00 1.550632061533571582e+00 7.835528175905498438e-01 -3.467389458092137602e+02 0.000000000000000000e+00
-2.952233141290225404e+00 -1.605873112319872398e+00 7.401594091995640223e-01 -7.685051885026646801e+01 0.000000000000000000e+00
-2.013702154368099073e+00 1.079373411067516608e+00 3.081340801167073429e-01 -9.781689903748933830e+02 0.000000000000000000e+00
-2.200023352860736914e+00 9.303586076885685952e-01 1.342700870538271030e+00 -4.363264126578829973e+02 0.000000000000000000e+00
-3.016325770220712688e+00 1.010517352494249427e-01 1.725086707206066494e+00 -5.563608085418785976e+01 0.000000000000000000e+00
-2.435356170807029486e+00 9.355183317458586334e-01 1.357350217111994217e+00 -2.533726398218506120e+02 0.000000000000000000e+00
-2.901794774774820507e+00 1.995723323406610072e+00 5.129382003201230500e-01 -6.418853701827927125e+02 0.000000000000000000e+00
-2.776659311952764497e+00 5.785594129248019524e-01 1.593715886576564822e+00 -5.986547180864349826e+01 0.000000000000000000e+00
-2.100064157848859470e+00 8.720455773876404360e-01 2.165286940854882769e-01 -7.936730797194464913e+02 0.000000000000000000e+00
-2.765696997419979208e+00 1.932858243981353308e+00 1.793812031322935541e+00 -1.823625599073449166e+02 0.000000000000000000e+00
-2.849375921587902205e+00 1.275256650290137017e+00 8.840699030760752475e-01 -1.474312236429860548e+02 0.000000000000000000e+00
-3.445037306708915281e+00 -1.607092440191310256e+00 9.742021759652996771e-02 -2.770739565787880565e+02 0.000000000000000000e+00
-2.809099291326287329e+00 1.856741130837225695e+00 5.444806113141543724e-01 -5.123231121236653962e+02 0.000000000000000000e+00
-2.419987352177712214e+00 -1.446727971013714864e-01 3.271370337069167133e-01 -2.134291991578567433e+02 0.000000000000000000e+00
-3.427878540523257911e+00 -1.413351668113328907e+00 1.957658960710898732e+00 -3.833270304499583858e+02 0.000000000000000000e+00
-3.199902582963538578e+00 1.775910991528846683e+00 1.164921301590871261e+00 -8.904150534137664863e+01 0.000000000000000000e+00
-2.781777538635267888e+00 -6.231615835945413240e-01 1.774099358585359498e+00 -4.626103705271246014e+01 0.000000000000000000e+00
-2.020606171556103003e+00 3.759140886366491019e-01 1.094486678470266483e+00 -5.249905107016287502e+02 0.000000000000000000e+00
-2.400244227917758710e+00 -1.716332074722915380e+00 7.736804686747718041e-01 -8.890480578469885131e+01 0.000000000000000000e+00
-3.285556178649582382e+00 -1.755938663974821790e+00 1.774022978463984490e+00 -2.950594010728299281e+02 0.000000000000000000e+00
-2.117374053304502901e+00 -2.027183661197420883e-01 9.531188611750778250e-01 -3.547419320011871378e+02 0.000000000000000000e+00
-2.318011608094995069e+00 1.765751576199572348e-01 1.582468618314964992e-01 -3.600583004140483467e+02 0.000000000000000000e+00
-3.186218125349752572e+00 -6.309429001242616852e-01 7.031458782368686933e-01 -9.780966016900708837e+01 0.000000000000000000e+00
-2.598572029787892923e+00 -1.844003756948533468e-01 1.187617291630242544e+00 -8.050334275896162239e+01 0.000000000000000000e+00
-3.353664696558838365e+00 1.317734890069496290e-01 1.908152292286455998e+00 -1.778750743427959264e+02 0.000000000000000000e+00
-2.792772408531423611e+00 -9.761865911004845575e-01 6.547116912310518844e-01 -4.238415714061959960e+01 0.000000000000000000e+00
-2.014121056821147615e+00 5.168412313213024412e-01 1.639937082624991938e+00 -4.832638566505593758e+02 0.000000000000000000e+00
-2.983975064327674787e+00 1.421369443395482879e+00 1.887150567364977771e+00 -5.420975481134120599e+01 0.000000000000000000e+00
-2.973367265578115148e+00 3.004360568258213626e-01 1.885438483168477175e+00 -4.797071609027499761e+01 0.000000000000000000e+00
-2.547037420669985064e+00 1.907736002351124061e+00 7.512939418117776658e-01 -6.629471131993714152e+02 0.000000000000000000e+00
-2.503119861068547003e+00 -8.585449732510497256e-01 1.732771810392420786e+00 -6.914188027134002823e+01 0.000000000000000000e+00
