# CurlyM omega_L omega_m logL logPrior
-2.610788579353348737e+00 8.547149623178853517e-01 1.263419134841806901e+00 -1.980626255259801098e+02 0.000000000000000000e+00
-3.021162193869098012e+00 7.936066433601358661e-01 1.227624078048109357e+00 -5.108385811414982669e+01 0.000000000000000000e+00
-2.235214850107162032e+00 1.105906946360571963e+00 1.005022409383389492e+00 -3.713220415182085077e+01 0.000000000000000000e+00
-2.699763263795726953e+00 7.793087352407833679e-01 1.263133612366470704e+00 -4.043669260388310960e+01 0.000000000000000000e+00
-2.846783910776038873e+00 1.230119588770734795e+00 1.053401011215214567e+00 -1.847525773442604759e+03 0.000000000000000000e+00
-2.861176394562459979e+00 9.672547348821400881e-01 9.493171253587877612e-01 -8.312428260364672497e+02 0.000000000000000000e+00
-3.183238532722187042e+00 7.206029060261216479e-01 1.249429613709702513e+00 -7.220611035041349623e+01 0.000000000000000000e+00
-2.001936153082075176e+00 9.080934205189619135e-01 1.211770457970908765e+00 -3.604149118396428975e+01 0.000000000000000000e+00
-2.076489014647149300e+00 1.098795500795617830e+00 1.026451516205687753e+00 -3.541262821855942633e+01 0.000000000000000000e+00
-2.069356126622388992e+00 1.480316176843101239e+00 7.194043867917834234e-01 -1.167458689449982785e+02 0.000000000000000000e+00
-2.351695522413440376e+00 1.134388433614808456e+00 9.714690293517537212e-01 -4.114292406477847663e+01 0.000000000000000000e+00
-2.149708233454287853e+00 6.733631993612800848e-01 1.425000886178322768e+00 -3.807489947588597801e+01 0.000000000000000000e+00
-2.052286474833022289e+00 9.336315798799177390e-01 1.184758707542059364e+00 -3.568188037168552995e+01 0.000000000000000000e+00
-2.850148037522387767e+00 5.939047205319767375e-01 1.416741554067218800e+00 -4.532406161505615927e+01 0.000000000000000000e+00
-2.169196590258211543e+00 9.717528088667836128e-01 1.132796783136790442e+00 -3.647383596026705987e+01 0.000000000000000000e+00
-2.367237739219782977e+00 1.130091837576920888e-01 1.294911474728514644e+00 -6.789540762230688415e+04 0.000000000000000000e+00
-3.383700414158916203e+00 9.371541695752074741e-01 1.419059208157498864e+00 -4.524384434737523407e+03 0.000000000000000000e+00
