# CurlyM omega_L omega_m logL logPrior
-2.340430646242725121e+00 -3.571552589626892371e-01 1.358435277980926781e+00 -7.877439820323719084e+07 0.000000000000000000e+00
-2.570176564986090817e+00 -7.072584030204845384e-02 1.073721663972742046e+00 -3.542919156227376312e+07 0.000000000000000000e+00
-2.165226975059396874e+00 2.862712143598395986e-01 7.178440348826484740e-01 -2.823859368944568932e+07 0.000000000000000000e+00
-3.405578150800408821e+00 1.903101602397103964e-01 8.138474196151354034e-01 -2.349357812204125151e+07 0.000000000000000000e+00
-2.374101637986539615e+00 5.157109063110677516e-01 4.908267095802787416e-01 -1.785360133488610387e+07 0.000000000000000000e+00
-2.568451912024976025e+00 8.437233892636347710e-01 1.634490539348243399e-01 -1.630350494609204493e+07 0.000000000000000000e+00
-2.701830057193443047e+00 5.386554221625660110e-01 4.692639904675727780e-01 -1.419505620251940191e+07 0.000000000000000000e+00
-2.893356679795695552e+00 1.002720716211387364e+00 8.617521350646861755e-03 -1.007557581803103723e+07 0.000000000000000000e+00
-3.013533686429486380e+00 4.814970375435693728e-01 5.293298448208704210e-01 -9.934350345327448100e+06 0.000000000000000000e+00
-2.534229631856141474e+00 -1.101216581521457377e-01 1.121585751403649356e+00 -9.692563036787735298e+06 0.000000000000000000e+00
-2.401891700340641478e+00 4.823656705126081468e-01 5.297914263720917560e-01 -9.586238335020136088e+06 0.000000000000000000e+00
-2.802172421797906043e+00 -3.956290177393184671e-01 1.407812027973817104e+00 -8.683826805004086345e+06 0.000000000000000000e+00
-3.188834695457243740e+00 -2.537348629834775826e-01 1.267031077277137152e+00 -7.572495449954197742e+06 0.000000000000000000e+00
-2.087489679245498664e+00 2.019692613028731820e-01 8.149677493869915690e-01 -6.989148519177120179e+06 0.000000000000000000e+00
-2.288217410151354159e+00 5.612471938185000786e-01 4.567852710028995067e-01 -6.511011274418932386e+06 0.000000000000000000e+00
-2.076003707108321272e+00 4.918495865345555718e-01 5.279324460046147527e-01 -6.043637766210296191e+06 0.000000000000000000e+00
-3.491245195193092954e+00 -3.285917537494460472e-01 1.345935713309211801e+00 -5.488546161462244578e+06 0.000000000000000000e+00
-2.839483354676973992e+00 2.937532660766696280e-01 7.300347316355555449e-01 -4.429854360223194584e+06 0.000000000000000000e+00
-2.263647435343370429e+00 3.731765935167342674e-01 6.526925415578936907e-01 -4.391318520888986997e+06 0.000000000000000000e+00
