# CurlyM omega_L omega_m logL logPrior
-2.427376175038343575e+00 1.060908580332575735e+00 1.036598947940013948e+00 -4.456588288917777874e+01 0.000000000000000000e+00
-2.790372912059341903e+00 6.137417964010940530e-01 1.421865341835585106e+00 -4.447420397315540441e+01 0.000000000000000000e+00
-2.786182500118450811e+00 7.113919907029706557e-01 1.327470671232468646e+00 -4.382781231851415527e+01 0.000000000000000000e+00
-2.068766217184714318e+00 1.456679225373474384e+00 7.011524281724567098e-01 -4.345980930408703813e+01 0.000000000000000000e+00
-2.485905915161300328e+00 1.188960626520168873e+00 9.024185214232396390e-01 -4.277904133117947794e+01 0.000000000000000000e+00
-2.650059002579383982e+00 1.037611610240742666e+00 1.023818810750693142e+00 -4.244914285522715858e+01 0.000000000000000000e+00
-2.561643130019876313e+00 1.072137629240126122e+00 1.005467732808299042e+00 -4.241093133707207841e+01 0.000000000000000000e+00
-2.357813095156382932e+00 1.206893069891667114e+00 9.029309762069968048e-01 -4.240985560019795031e+01 0.000000000000000000e+00
-2.781844081615792774e+00 7.219981793043350748e-01 1.305254104916297564e+00 -4.227135765509630261e+01 0.000000000000000000e+00
-2.169495888780020643e+00 1.233014229005650497e+00 9.018480296859803236e-01 -4.223081679987023307e+01 0.000000000000000000e+00
-2.799724370560642939e+00 6.521982349625059516e-01 1.380185953033282731e+00 -4.222711776324833721e+01 0.000000000000000000e+00
-2.671094418098160617e+00 8.066466267299848836e-01 1.247437448105991775e+00 -4.221267139783034139e+01 0.000000000000000000e+00
-2.213440196818405870e+00 1.368600899390525649e+00 7.589740405949553237e-01 -4.208303315897146746e+01 0.000000000000000000e+00
-2.346931645061088201e+00 8.221032257583962277e-01 1.249044498909136047e+00 -4.204523105984691966e+01 0.000000000000000000e+00
-2.393843116213406397e+00 1.202336662974593073e+00 9.014220883495749348e-01 -4.194555481944238551e+01 0.000000000000000000e+00
-2.178431412794258115e+00 1.284778724833194774e+00 8.510682409026925077e-01 -4.193298038817842865e+01 0.000000000000000000e+00
-2.295645218500885765e+00 6.825524487704304200e-01 1.388439556239661421e+00 -4.169711670313102303e+01 0.000000000000000000e+00
-2.757964779789012777e+00 5.823280755982844781e-01 1.441053203780779279e+00 -4.164946463985983627e+01 0.000000000000000000e+00
-2.645273728842678640e+00 5.990478513219137380e-01 1.434874635383938557e+00 -4.163436933197710488e+01 0.000000000000000000e+00
-2.668769666139379826e+00 8.627130399720429610e-01 1.192139131006622721e+00 -4.149376999155251866e+01 0.000000000000000000e+00
-2.627937571423763163e+00 7.140785892456120720e-01 1.326682964047904534e+00 -4.146148718265438760e+01 0.000000000000000000e+00
-2.189668245917615774e+00 6.500938774948114007e-01 1.431170262707954111e+00 -4.145860483241835226e+01 0.000000000000000000e+00
-2.458344083424290449e+00 1.142048948894692550e+00 9.498035835857474574e-01 -4.144541778130952281e+01 0.000000000000000000e+00
-2.132037542001933961e+00 7.164232760326494365e-01 1.392880610921843676e+00 -4.137080778819314020e+01 0.000000000000000000e+00
-2.226430418433479552e+00 7.493098889059635059e-01 1.331753716144447486e+00 -4.124557989052443219e+01 0.000000000000000000e+00
-2.851431910950973148e+00 5.381591334416455652e-01 1.479936907964072734e+00 -4.124203207638522173e+01 0.000000000000000000e+00
-2.697553146679210201e+00 8.756949261611230995e-01 1.172930537045847377e+00 -4.114800672685291971e+01 0.000000000000000000e+00
-2.121983824878817426e+00 6.114878039026606649e-01 1.476482916128201595e+00 -4.113597161754766063e+01 0.000000000000000000e+00
-2.475333842167330101e+00 1.080527559748166944e+00 1.006733546398438373e+00 -4.111022311866064882e+01 0.000000000000000000e+00
-2.499243364851123417e+00 1.113918577637286855e+00 9.659427947854737351e-01 -4.108868841881029965e+01 0.000000000000000000e+00
-2.125815464319500858e+00 9.123919358591819906e-01 1.208344917451755318e+00 -4.108558237603460128e+01 0.000000000000000000e+00
