# CurlyM omega_L omega_m logL logPrior
-2.788667356156977029e+00 1.443385719613778040e+00 1.111242749105425309e+00 -5.918727273270923433e+03 0.000000000000000000e+00
-3.391163923247109135e+00 6.544753445239166467e-01 9.772174587730841910e-01 -1.080993321903584729e+04 0.000000000000000000e+00
-2.391476618715189240e+00 1.348660260678678169e+00 1.202165116382371890e+00 -4.960261424120443735e+03 0.000000000000000000e+00
-3.337136561262511236e+00 9.516360387229625406e-01 4.131583000462381583e-01 -7.711688285311289656e+04 0.000000000000000000e+00
-2.653413963375330642e+00 5.323314588253708068e-01 1.465056444770263422e+00 -1.168094907830276838e+02 0.000000000000000000e+00
-2.738318176373801816e+00 6.887543119340315823e-01 6.143239693934249290e-01 -1.311245091477314127e+05 0.000000000000000000e+00
-2.234864989651662359e+00 7.660462975753258297e-01 9.359558799177620791e-01 -1.179967891604253055e+04 0.000000000000000000e+00
-2.136017226597318963e+00 1.138940378584699875e+00 4.681721628202137886e-01 -2.513474848923932950e+04 0.000000000000000000e+00
-2.891657401417245588e+00 1.135576438501427532e+00 4.141826621366030414e-01 -2.745787077316775685e+04 0.000000000000000000e+00
-3.090629818736474466e+00 1.183408463719216597e-01 1.258307251795530490e+00 -6.842135454555803153e+04 0.000000000000000000e+00
-3.040369787080845487e+00 1.077107912984585525e+00 1.061833353226022014e+00 -5.905422599846217508e+02 0.000000000000000000e+00
-2.700095186001505887e+00 6.912968071921302693e-01 1.031967665269788004e+00 -7.654650621143887292e+03 0.000000000000000000e+00
-3.448323954259008950e+00 1.253700150361183541e+00 5.913784707510008065e-01 -1.512339139593326308e+03 0.000000000000000000e+00
-2.266963003322653769e+00 8.408746845055283803e-01 1.222394636071918672e+00 -7.011483932842551781e+01 0.000000000000000000e+00
-2.284215721839768509e+00 1.201384333120729231e+00 7.834513472894835129e-01 -7.981300082136234550e+02 0.000000000000000000e+00
-3.037121342494765397e+00 1.347956608364598630e+00 1.412269665353074855e+00 -1.105219283383306538e+04 0.000000000000000000e+00
-3.097247123209882158e+00 7.940595634238306610e-01 5.432003336694037898e-01 -9.650245151447172975e+04 0.000000000000000000e+00
-2.593602717466770624e+00 9.007497001822081240e-01 3.146189284431429312e-01 -2.661415453683618689e+05 0.000000000000000000e+00
-3.411476642123381531e+00 1.066489343567073256e+00 4.983169299761524562e-01 -1.984758381586036558e+04 0.000000000000000000e+00
-2.140934810040080905e+00 8.420333904990372487e-01 3.343465434627478916e-01 -3.994362959791198373e+05 0.000000000000000000e+00
-2.930607879985015707e+00 1.433112079052274446e+00 5.009637395766484147e-01 -9.610588767693843693e+02 0.000000000000000000e+00
-2.973153939023275960e+00 1.029880872171931472e+00 8.547811892047304516e-01 -1.248311031710155703e+03 0.000000000000000000e+00
-2.959097579085447904e+00 5.080718387929714641e-01 1.027669665951946421e+00 -2.579611090407430675e+04 0.000000000000000000e+00
-3.052436038288651954e+00 8.105831113500354679e-01 6.093754262519904819e-01 -5.642440132562624058e+04 0.000000000000000000e+00
-3.251811396765372120e+00 8.410648668401279338e-01 9.138880520112072636e-01 -4.131980170242401073e+03 0.000000000000000000e+00
-2.193990773558111229e+00 6.161254568638394602e-01 1.215145347779070573e+00 -4.096691826967095039e+03 0.000000000000000000e+00
-3.184102538547511241e+00 1.146452821161189961e+00 1.001184191845578386e+00 -7.871041204145847132e+02 0.000000000000000000e+00
-2.847764308540309486e+00 1.350030380540847785e+00 2.163979931533495105e-01 -2.696300802400159228e+04 0.000000000000000000e+00
-2.421287758708623894e+00 5.348883650809389545e-01 9.393742144353405266e-01 -4.621788412976185646e+04 0.000000000000000000e+00
-2.671437736111033967e+00 -2.701331133046973587e-01 1.340160714472493630e+00 -1.254665657938149991e+06 0.000000000000000000e+00
-3.416425963765099993e+00 3.012461613106389158e-01 1.119575438846464044e+00 -4.680518109142855974e+04 0.000000000000000000e+00
-3.354462169978648767e+00 2.143922276163522656e-01 1.179309724356565114e+00 -5.697328322929092246e+04 0.000000000000000000e+00
-3.257018208884209010e+00 -1.686021158168960754e-01 1.285246025869260400e+00 -5.749581623165486380e+05 0.000000000000000000e+00
-3.406909575385442590e+00 7.107450647534722110e-01 1.112366578655890281e+00 -1.447170410396223360e+03 0.000000000000000000e+00
-3.437206394665991649e+00 1.124533806435296768e+00 3.450640768067374520e-01 -3.849744853131803393e+04 0.000000000000000000e+00
-3.398762699903437934e+00 4.237007024136007494e-01 8.742564912039683112e-01 -1.132756696524506551e+05 0.000000000000000000e+00
-2.352851967462138205e+00 5.863762683758743099e-01 5.071273011943349118e-01 -9.488286382001931779e+05 0.000000000000000000e+00
-2.989860047731157877e+00 3.772164142340790338e-01 8.106552471360350953e-01 -2.967394140447967220e+05 0.000000000000000000e+00
-2.898262875848102826e+00 1.373075305544613434e+00 8.111464721048697868e-01 -6.636283401836692519e+02 0.000000000000000000e+00
-3.317911802614546435e+00 9.364188077905861718e-01 6.818886383143425434e-01 -1.344208019134898495e+04 0.000000000000000000e+00
-2.287212592243597520e+00 9.187641401396752228e-01 4.060342049240851514e-01 -1.288490517891975760e+05 0.000000000000000000e+00
-2.040352230343368323e+00 1.199176461859255083e+00 1.021103312401281382e-01 -1.660669099609403347e+05 0.000000000000000000e+00
-2.175925959037456447e+00 8.395916790100470539e-01 1.004668805717912061e+00 -3.974012405475961714e+03 0.000000000000000000e+00
-2.465531574991982833e+00 1.077469965134786767e+00 3.192801294382704436e-01 -8.027366980854653229e+04 0.000000000000000000e+00
-2.795045108879349982e+00 7.991780749272530127e-01 4.490249629430722034e-01 -1.953894214354683936e+05 0.000000000000000000e+00
-3.041433576538810080e+00 1.297821258302189751e+00 1.373406376434116671e+00 -9.298292180527676464e+03 0.000000000000000000e+00
-3.153479112007633756e+00 4.609988903566296647e-01 8.581844327802903294e-01 -1.036359067564443394e+05 0.000000000000000000e+00
-3.072484755280291413e+00 8.415296502114779642e-01 3.750243438184600042e-01 -2.387462921569952450e+05 0.000000000000000000e+00
-2.028214549812307421e+00 1.073179367973136067e+00 1.649214709999202999e-01 -2.534320289358962036e+05 0.000000000000000000e+00
-2.749072446473288522e+00 6.784344330981205706e-01 1.085993351603034451e+00 -5.168474224759019307e+03 0.000000000000000000e+00
-2.356707895974822886e+00 4.475188742955381604e-01 7.815183471516313762e-01 -2.384781419340636348e+05 0.000000000000000000e+00
-3.110489698358494870e+00 1.055050822581452552e+00 1.182124769697840416e-01 -3.569528101363627356e+05 0.000000000000000000e+00
-2.176650309121280547e+00 6.361626400148481242e-01 4.017479674466935546e-01 -2.953538719564832281e+06 0.000000000000000000e+00
-2.128949942445263588e+00 1.080916611012665118e+00 1.490015569221576186e+00 -5.020405498559568514e+03 0.000000000000000000e+00
-3.425459410529760440e+00 1.138362105164813620e+00 1.598847626267295707e-01 -1.243883035418437503e+05 0.000000000000000000e+00
-2.104808918140130380e+00 6.562922932373237428e-01 1.116867686987046193e+00 -7.243204856984186335e+03 0.000000000000000000e+00
-2.716732955585832165e+00 1.006809505844906472e+00 1.066883113822764573e+00 -6.202187619715666500e+01 0.000000000000000000e+00
