# CurlyM omega_m logL logPrior
-2.894699343876693476e+00 1.004666836945331765e+00 -4.248862084095032543e+01 0.000000000000000000e+00
-2.829667534327481526e+00 1.245551430496974810e+00 -4.247588172738554846e+01 0.000000000000000000e+00
-2.896840578110290387e+00 9.712369090522185999e-01 -4.292067324832667197e+01 0.000000000000000000e+00
-2.894986749722382680e+00 8.863176797591993950e-01 -4.510984594101291378e+01 0.000000000000000000e+00
-2.960796465531333688e+00 9.202762079403991047e-01 -4.225824317662415552e+01 0.000000000000000000e+00
-2.910739124410287371e+00 1.053667510324357348e+00 -4.184033895525654856e+01 0.000000000000000000e+00
-2.869505300815378135e+00 1.112928128927146432e+00 -4.214896389822559541e+01 0.000000000000000000e+00
-2.849872083107944931e+00 1.257945351468197748e+00 -4.218373593919223907e+01 0.000000000000000000e+00
-2.882846447567811943e+00 1.107612826653581184e+00 -4.191723939039049895e+01 0.000000000000000000e+00
-2.909664500170126455e+00 1.052663382897194300e+00 -4.184483020896690419e+01 0.000000000000000000e+00
-2.934955508352669273e+00 9.610683301755362784e-01 -4.208282774877898902e+01 0.000000000000000000e+00
-2.938657668586783789e+00 1.064577985307170405e+00 -4.227704242430518633e+01 0.000000000000000000e+00
-2.860299671302603652e+00 1.127473903640315189e+00 -4.229657265123551468e+01 0.000000000000000000e+00
-2.963539455563619196e+00 9.192676667115712297e-01 -4.227953491455107127e+01 0.000000000000000000e+00
-2.910989600655333742e+00 1.041813210835724091e+00 -4.186591225317004472e+01 0.000000000000000000e+00
-2.903298744470539816e+00 1.128874654321276649e+00 -4.194356254165223419e+01 0.000000000000000000e+00
-2.922936294282536096e+00 1.063035025589455840e+00 -4.192214425250980270e+01 0.000000000000000000e+00
-2.848925608884500082e+00 1.147319777785073880e+00 -4.250344186174290684e+01 0.000000000000000000e+00
-2.876267261857117230e+00 1.163589210482541381e+00 -4.190384898717221773e+01 0.000000000000000000e+00
-2.882809791355004148e+00 1.190941488758248124e+00 -4.203017910836826587e+01 0.000000000000000000e+00
-3.129805635006121189e+00 6.944554451722535493e-01 -4.906124245717440857e+01 0.000000000000000000e+00
-3.002764424400572896e+00 1.007837369296899599e+00 -4.485929461070487179e+01 0.000000000000000000e+00
-2.918487551501097954e+00 1.060018107575537272e+00 -4.186560092725641624e+01 0.000000000000000000e+00
-2.254625690727225518e+00 1.876004720001758885e+00 -1.480492330643012053e+02 0.000000000000000000e+00
-2.928980898972624924e+00 1.098856809085297703e+00 -4.229811175581132687e+01 0.000000000000000000e+00
-3.385143938961758359e+00 1.256148595873568752e+00 -1.877102588772534375e+02 0.000000000000000000e+00
-2.826633740047117982e+00 7.439426483687963110e-01 -6.256930228697921592e+01 0.000000000000000000e+00
-3.133919276855137159e+00 1.754655705403652455e+00 -1.317463240639304445e+02 0.000000000000000000e+00
-2.937010316897935791e+00 1.035516020771231727e+00 -4.204172999352525864e+01 0.000000000000000000e+00
-2.905321796991103156e+00 1.121441800107835673e+00 -4.193317320653387270e+01 0.000000000000000000e+00
-2.885754867290713843e+00 1.099420419895749124e+00 -4.190805222861104795e+01 0.000000000000000000e+00
-2.929250184957407743e+00 1.047201901164979576e+00 -4.195619227152301534e+01 0.000000000000000000e+00
-2.905682641669847133e+00 8.932763508239556227e-01 -4.418652976592102988e+01 0.000000000000000000e+00
-2.923129450248961536e+00 9.038131641901064883e-01 -4.307653052469873245e+01 0.000000000000000000e+00
-2.894721555299024196e+00 1.077641096487339079e+00 -4.187988520583291319e+01 0.000000000000000000e+00
-2.955972401426368634e+00 9.376350993175308624e-01 -4.217673349822074869e+01 0.000000000000000000e+00
-2.889644354214815358e+00 1.190787057243470226e+00 -4.213427790811481799e+01 0.000000000000000000e+00
-3.105825223615131581e+00 9.371987785859043907e-01 -5.462590428293373890e+01 0.000000000000000000e+00
-2.959746865477381750e+00 9.121079657134522067e-01 -4.229014091585400337e+01 0.000000000000000000e+00
-2.942992258930597682e+00 9.318051428140775583e-01 -4.222417861553729068e+01 0.000000000000000000e+00
-2.755992277863656970e+00 1.835930170073180712e+00 -4.818535712576173324e+01 0.000000000000000000e+00
-2.621668458770958221e+00 1.875738024894157308e+00 -5.035085621450762261e+01 0.000000000000000000e+00
-2.787402669220383711e+00 1.666933813968811018e+00 -4.602795391235677158e+01 0.000000000000000000e+00
-2.913258559828145966e+00 1.040833833360163885e+00 -4.185859580830163651e+01 0.000000000000000000e+00
-2.917101825038407981e+00 1.100288600492685065e+00 -4.200931542117415773e+01 0.000000000000000000e+00
-2.880894428386061801e+00 1.244878992602397316e+00 -4.245701445330164603e+01 0.000000000000000000e+00
-2.887737446470368674e+00 1.202026920267540877e+00 -4.219108286314713752e+01 0.000000000000000000e+00
-2.911566558263467108e+00 1.032142703785368099e+00 -4.189602758746863032e+01 0.000000000000000000e+00
-2.921778801309246720e+00 9.615753004719411745e-01 -4.226274423795977242e+01 0.000000000000000000e+00
-2.831898109660653695e+00 1.393023698240841712e+00 -4.303453364461147856e+01 0.000000000000000000e+00
-3.041388909806368446e+00 4.263999449501812977e-01 -5.777190741847979183e+01 0.000000000000000000e+00
-2.947024963531313269e+00 1.004228592861645231e+00 -4.210452613426725321e+01 0.000000000000000000e+00
-2.906607494659254609e+00 1.173314769104811139e+00 -4.238872054374373732e+01 0.000000000000000000e+00
-2.858733597922270775e+00 1.238140834780492083e+00 -4.210717383538672465e+01 0.000000000000000000e+00
-2.567216472491056223e+00 1.861568473920574229e+00 -5.638148005955816444e+01 0.000000000000000000e+00
-2.944544401251537824e+00 1.021654774372475538e+00 -4.213107168073468500e+01 0.000000000000000000e+00
-2.962592058836402753e+00 9.532378989230708699e-01 -4.225347682402382787e+01 0.000000000000000000e+00
-2.724178323172507188e+00 1.973351741754635347e+00 -4.972981587173641316e+01 0.000000000000000000e+00
-2.678268179477630184e+00 1.870512829586701731e+00 -4.754490486752380463e+01 0.000000000000000000e+00
-2.984229979507969421e+00 1.176360508425005058e+00 -4.799443237796290163e+01 0.000000000000000000e+00
-2.978248732992608172e+00 8.844288198329264272e-01 -4.251777714779684203e+01 0.000000000000000000e+00
-2.900074271617789190e+00 1.058177423524528704e+00 -4.189746801247161301e+01 0.000000000000000000e+00
-2.891679971735471533e+00 1.135645399717627235e+00 -4.186342644541448266e+01 0.000000000000000000e+00
-2.864855658574387398e+00 1.182767706536510532e+00 -4.197995959965361834e+01 0.000000000000000000e+00
-3.001535722787677329e+00 6.248625824859657119e-01 -4.785129462000566747e+01 0.000000000000000000e+00
-2.882188272111740002e+00 1.138532435480603011e+00 -4.186854476638938394e+01 0.000000000000000000e+00
-2.908651449409367373e+00 1.090345516809206883e+00 -4.185184259260774553e+01 0.000000000000000000e+00
-2.873700078291935522e+00 1.233808271448268545e+00 -4.220444245813926187e+01 0.000000000000000000e+00
-3.071227941062508293e+00 3.532437057996462570e-01 -6.170096324999075676e+01 0.000000000000000000e+00
-2.924678509330168374e+00 1.048412390172184017e+00 -4.190062872581231801e+01 0.000000000000000000e+00
-2.797205714663115739e+00 1.345974198965011359e+00 -4.307917904332395409e+01 0.000000000000000000e+00
-2.903147384174656231e+00 1.051302287260116541e+00 -4.189353250745978841e+01 0.000000000000000000e+00
-2.909443391212139574e+00 1.075423367023524035e+00 -4.183197225769186645e+01 0.000000000000000000e+00
-2.825556137495486730e+00 1.313104979103051795e+00 -4.249292161505292853e+01 0.000000000000000000e+00
-2.891686879328458915e+00 1.024276990708525015e-01 -1.732756807858213222e+02 0.000000000000000000e+00
-3.145304501321462887e+00 6.387898673382628179e-01 -4.948407379735376566e+01 0.000000000000000000e+00
-2.986322577960721869e+00 9.099379175865978109e-01 -4.268354605254058498e+01 0.000000000000000000e+00
-2.851299598519494438e+00 1.254874034049993758e+00 -4.217054594739439466e+01 0.000000000000000000e+00
-2.793549611336681782e+00 5.491994792026552163e-01 -9.429183999560584084e+01 0.000000000000000000e+00
-2.823339569022002671e+00 1.855367913492749654e+00 -5.468062013328535187e+01 0.000000000000000000e+00
-2.902236786997096640e+00 1.048006783947536880e+00 -4.191905508871482056e+01 0.000000000000000000e+00
-2.862888265274661670e+00 1.435751519894723716e+00 -4.497256815439305200e+01 0.000000000000000000e+00
-2.822460223434323900e+00 1.376071904439079674e+00 -4.278594235059363626e+01 0.000000000000000000e+00
-2.709674558088915219e+00 1.702241598213351637e+00 -4.589005543425438560e+01 0.000000000000000000e+00
-2.892053390078805908e+00 1.107938719815910078e+00 -4.183665514851356448e+01 0.000000000000000000e+00
-2.850732935990955230e+00 1.016731839647873503e+00 -4.465786407040888406e+01 0.000000000000000000e+00
-2.913834744876126148e+00 1.058791206366517468e+00 -4.183858946876717511e+01 0.000000000000000000e+00
-3.029655213941591096e+00 9.626574637947121760e-01 -4.603212509454106538e+01 0.000000000000000000e+00
-3.061133773063083208e+00 4.604599859014420482e-01 -5.317477948376862429e+01 0.000000000000000000e+00
-2.837961600983583299e+00 1.374712028186639623e+00 -4.294148655195068187e+01 0.000000000000000000e+00
