# CurlyM omega_m logL logPrior
-2.003064490372051143e+00 1.055115799612073024e-01 -9.756315673475778567e+02 0.000000000000000000e+00
-2.027899504938979192e+00 9.304217523861335604e-02 -9.549614670529617797e+02 0.000000000000000000e+00
-2.117527443409709775e+00 1.425879519974878294e-02 -9.234176864738354880e+02 0.000000000000000000e+00
-2.073054617046296233e+00 6.869672745571342443e-02 -9.205903207472447320e+02 0.000000000000000000e+00
-2.080222083169660063e+00 8.852434292222866041e-02 -8.906309182664663240e+02 0.000000000000000000e+00
-2.134655337790287266e+00 3.078320771686462315e-02 -8.821530522784275945e+02 0.000000000000000000e+00
-2.059695395828700537e+00 1.244052944981151737e-01 -8.819157224697603397e+02 0.000000000000000000e+00
-2.033825288360405104e+00 1.610123793400358438e-01 -8.814668817402973673e+02 0.000000000000000000e+00
-2.125676265301417622e+00 6.015552825931072545e-02 -8.617084903326017411e+02 0.000000000000000000e+00
-2.036998133142063239e+00 2.062990913639233259e-01 -8.384806102345102090e+02 0.000000000000000000e+00
-2.173194925809186717e+00 4.675717769778531263e-02 -8.164856180863934014e+02 0.000000000000000000e+00
-2.177012216972455505e+00 5.286627228939400069e-02 -8.054647658100946046e+02 0.000000000000000000e+00
-2.134934468123724560e+00 1.346461844880143532e-01 -7.787005162557273934e+02 0.000000000000000000e+00
-2.207506383766994595e+00 5.393052063794834261e-02 -7.676803556156577315e+02 0.000000000000000000e+00
-2.154114418098671102e+00 1.244815805151680832e-01 -7.646936950879736514e+02 0.000000000000000000e+00
-2.060930949165395543e+00 2.653655838256522292e-01 -7.633214792459928049e+02 0.000000000000000000e+00
-2.044310846388938785e+00 2.949275468165556968e-01 -7.621704160295812471e+02 0.000000000000000000e+00
-2.166614188598066093e+00 1.258580906595921367e-01 -7.486624496549214882e+02 0.000000000000000000e+00
-2.016088997351958678e+00 3.917985870467270981e-01 -7.320633070819587829e+02 0.000000000000000000e+00
-2.279660861700135044e+00 7.130726623947425402e-03 -7.320271313963129387e+02 0.000000000000000000e+00
-2.010517545277849649e+00 4.204923775909772399e-01 -7.212215953369279759e+02 0.000000000000000000e+00
-2.285890418466097973e+00 1.597593052347687920e-02 -7.155040803470072888e+02 0.000000000000000000e+00
-2.038798963438456457e+00 3.827830137642318498e-01 -7.110262990255281466e+02 0.000000000000000000e+00
-2.200416258710240491e+00 1.284879376455096978e-01 -7.071727744282989079e+02 0.000000000000000000e+00
-2.242192386021875983e+00 7.588935533689666890e-02 -7.062022604112261206e+02 0.000000000000000000e+00
-2.295412608345186012e+00 4.306820156357948903e-02 -6.775924182419679482e+02 0.000000000000000000e+00
-2.109220541030164320e+00 3.136044901717538469e-01 -6.740707479667318012e+02 0.000000000000000000e+00
-2.007247634344274001e+00 5.154889579221790807e-01 -6.719319982997726584e+02 0.000000000000000000e+00
-2.217608486602580697e+00 1.507546360874810754e-01 -6.694895983450423955e+02 0.000000000000000000e+00
-2.113260640573024318e+00 3.264961442871845421e-01 -6.613232185365924352e+02 0.000000000000000000e+00
-2.092300142137906604e+00 3.714795953624859814e-01 -6.570530142319349807e+02 0.000000000000000000e+00
-2.328110860012392092e+00 3.438486292034470537e-02 -6.502543121893378384e+02 0.000000000000000000e+00
-2.306729969955119586e+00 6.697786014618423156e-02 -6.429653352013700669e+02 0.000000000000000000e+00
-2.202120109880651988e+00 2.160262773727389951e-01 -6.373916604973866242e+02 0.000000000000000000e+00
-2.038644920561454743e+00 5.244934623237414995e-01 -6.323629952107825147e+02 0.000000000000000000e+00
-2.235975420240018163e+00 1.739625012393539727e-01 -6.314682942691716789e+02 0.000000000000000000e+00
-2.028928525077021039e+00 5.560149422909874684e-01 -6.273390390740229350e+02 0.000000000000000000e+00
-2.329719895731354296e+00 6.156594318236269237e-02 -6.233080957903272292e+02 0.000000000000000000e+00
-2.236351152540883902e+00 1.884150378860204311e-01 -6.203967597799464784e+02 0.000000000000000000e+00
-2.147136824196788751e+00 3.402335745027882385e-01 -6.158525320137764538e+02 0.000000000000000000e+00
-2.043616128815495259e+00 5.563346114494709393e-01 -6.112749223672448124e+02 0.000000000000000000e+00
-2.040531527562343239e+00 5.665994804681618868e-01 -6.096710207787432410e+02 0.000000000000000000e+00
-2.195281033088524847e+00 2.821725878755058092e-01 -6.003984176698662623e+02 0.000000000000000000e+00
-2.373191034998392901e+00 4.624457900530065668e-02 -5.918414159662069096e+02 0.000000000000000000e+00
-2.015949556536074994e+00 6.721730406157384596e-01 -5.881245301517492408e+02 0.000000000000000000e+00
-2.243469923343867301e+00 2.285174210675523510e-01 -5.849481515054441161e+02 0.000000000000000000e+00
-2.232721698206633132e+00 2.520765771500017571e-01 -5.805773095533991182e+02 0.000000000000000000e+00
-2.196363874531995997e+00 3.524178727430458125e-01 -5.574056024247450978e+02 0.000000000000000000e+00
-2.208381829002570296e+00 3.331623887487315527e-01 -5.561454242184703389e+02 0.000000000000000000e+00
-2.229389742908864491e+00 2.981349802207171606e-01 -5.553826724645915647e+02 0.000000000000000000e+00
-2.119152271904130469e+00 5.122816678219548336e-01 -5.533272204589172816e+02 0.000000000000000000e+00
-2.272842113585609614e+00 2.369254675045589786e-01 -5.495502820759346605e+02 0.000000000000000000e+00
-2.265277626450905579e+00 2.494826217256054246e-01 -5.491357482741835838e+02 0.000000000000000000e+00
-2.221449784674895955e+00 3.295409554968354859e-01 -5.450529127672936056e+02 0.000000000000000000e+00
-2.318298386895636387e+00 1.766510668106685555e-01 -5.444836999362499910e+02 0.000000000000000000e+00
-2.219953562123882840e+00 3.344155662527091843e-01 -5.437817863817150510e+02 0.000000000000000000e+00
-2.208966149032899562e+00 3.595318727415428572e-01 -5.407650717794331285e+02 0.000000000000000000e+00
-2.304960635030718574e+00 2.023715083114990820e-01 -5.401967829949032875e+02 0.000000000000000000e+00
-2.263177452994032723e+00 2.800134625174116598e-01 -5.324869829630340519e+02 0.000000000000000000e+00
-2.126497014520587925e+00 5.417680674155813669e-01 -5.322113796276780704e+02 0.000000000000000000e+00
-2.371108260052088301e+00 1.326777641256625395e-01 -5.241055145440149090e+02 0.000000000000000000e+00
-2.031380750488696041e+00 7.981296116293233878e-01 -5.223696439367969333e+02 0.000000000000000000e+00
-2.389586852451805576e+00 1.154173537598447707e-01 -5.190577214491231643e+02 0.000000000000000000e+00
-2.021940872193802807e+00 8.333787195613279186e-01 -5.189729978475604639e+02 0.000000000000000000e+00
-2.087119591342771585e+00 6.638685777792017184e-01 -5.189308232533844603e+02 0.000000000000000000e+00
-2.069052106365133703e+00 7.094175736456874715e-01 -5.186565915117718077e+02 0.000000000000000000e+00
-2.363180707171905315e+00 1.577368469506782722e-01 -5.139260285868792835e+02 0.000000000000000000e+00
-2.364680721760682669e+00 1.567509511422519319e-01 -5.131762083556373000e+02 0.000000000000000000e+00
-2.192597247106268465e+00 4.629788488647019751e-01 -5.039995062617945791e+02 0.000000000000000000e+00
-2.299628544287433130e+00 2.694590603258624761e-01 -5.033938657728247676e+02 0.000000000000000000e+00
-2.012602076213137359e+00 9.051997830677869228e-01 -5.033558931244708106e+02 0.000000000000000000e+00
-2.335398148095519488e+00 2.150922084910190657e-01 -5.024750262195996697e+02 0.000000000000000000e+00
-2.161346200456546907e+00 5.534921845165423626e-01 -4.929854603193970775e+02 0.000000000000000000e+00
-2.301416717325003081e+00 2.908383560668160173e-01 -4.893751263645054337e+02 0.000000000000000000e+00
-2.227763500041716416e+00 4.238852800603382653e-01 -4.891950831062030716e+02 0.000000000000000000e+00
-2.295599782833684710e+00 3.010086760079693224e-01 -4.891368038252887231e+02 0.000000000000000000e+00
-2.341370770436885795e+00 2.382164556156066704e-01 -4.826431831862431068e+02 0.000000000000000000e+00
-2.089272483726986707e+00 7.533352238347672536e-01 -4.825518891660596523e+02 0.000000000000000000e+00
-2.465758292139657470e+00 7.859230052835464164e-02 -4.758546514046903440e+02 0.000000000000000000e+00
-2.338806243930111162e+00 2.559595211581176533e-01 -4.745457262803858498e+02 0.000000000000000000e+00
-2.409974078708160494e+00 1.553428351468056356e-01 -4.719078571121302161e+02 0.000000000000000000e+00
-2.223800706775932667e+00 4.857831389437575753e-01 -4.640541255141472448e+02 0.000000000000000000e+00
-2.270405206720504943e+00 3.988499481102948385e-01 -4.616436123595855747e+02 0.000000000000000000e+00
-2.333395636556702790e+00 2.879141440673794738e-01 -4.614336243481065480e+02 0.000000000000000000e+00
-2.221579770586136870e+00 5.014090451783148605e-01 -4.591997598849410451e+02 0.000000000000000000e+00
-2.146772586441510811e+00 6.813433810027176296e-01 -4.553595676239214072e+02 0.000000000000000000e+00
-2.222825972057397070e+00 5.132001560964898346e-01 -4.529552246806426297e+02 0.000000000000000000e+00
-2.083714549974462038e+00 8.563298948926982845e-01 -4.523005608031269276e+02 0.000000000000000000e+00
-2.200142204652431932e+00 5.643626015542823060e-01 -4.521863014056832526e+02 0.000000000000000000e+00
-2.008183060286366839e+00 1.094318121499081808e+00 -4.498073625761321637e+02 0.000000000000000000e+00
-2.226341056927597428e+00 5.133315863031890913e-01 -4.497040003465792211e+02 0.000000000000000000e+00
-2.024524115516991074e+00 1.086608799401812764e+00 -4.371120537329815079e+02 0.000000000000000000e+00
-2.146069871747032565e+00 7.337394190142615402e-01 -4.370870820829478589e+02 0.000000000000000000e+00
-2.286702606512347025e+00 4.206228378165168813e-01 -4.366425598657031060e+02 0.000000000000000000e+00
-2.379384702289262687e+00 2.595523602933236251e-01 -4.359996969449730386e+02 0.000000000000000000e+00
-2.154129346922990074e+00 7.250017379157930320e-01 -4.329274621304584230e+02 0.000000000000000000e+00
-2.296707417863432354e+00 4.128383145256874776e-01 -4.313777254081528554e+02 0.000000000000000000e+00
-2.296344472348387900e+00 4.162221053791017589e-01 -4.301389718914429068e+02 0.000000000000000000e+00
-2.492990607508573486e+00 1.088037038287543723e-01 -4.300938661393810207e+02 0.000000000000000000e+00
-2.113632407593934559e+00 8.414796855860906533e-01 -4.300508517971447304e+02 0.000000000000000000e+00
-2.538920338696690315e+00 5.504446289144085402e-02 -4.296161183127326808e+02 0.000000000000000000e+00
-2.433033742857539927e+00 1.910676988174551671e-01 -4.288279023249712623e+02 0.000000000000000000e+00
-2.403304328005226420e+00 2.388812784753135132e-01 -4.266925352166008452e+02 0.000000000000000000e+00
-2.005968823546790958e+00 1.188882925144540526e+00 -4.265107168468342138e+02 0.000000000000000000e+00
-2.330911159568369584e+00 3.643057004235692453e-01 -4.242965893268815307e+02 0.000000000000000000e+00
-2.150587561910216827e+00 7.713461701914032798e-01 -4.202382177167758641e+02 0.000000000000000000e+00
-2.057485566799049259e+00 1.042199263934380005e+00 -4.200322515418911848e+02 0.000000000000000000e+00
-2.101213568342114257e+00 9.111960331283232017e-01 -4.193870182001375611e+02 0.000000000000000000e+00
-2.306040885823288367e+00 4.299695032050836474e-01 -4.154641753760801635e+02 0.000000000000000000e+00
-2.242414854559872772e+00 5.695922923485585709e-01 -4.125341570267335101e+02 0.000000000000000000e+00
-2.178367580180111673e+00 7.292589269405919117e-01 -4.101314275450822038e+02 0.000000000000000000e+00
-2.309463783918352497e+00 4.354047781274024143e-01 -4.101136095694532173e+02 0.000000000000000000e+00
-2.566518648347883680e+00 5.159456707434807027e-02 -4.091817034711675092e+02 0.000000000000000000e+00
-2.086344451466112915e+00 9.955631938946083448e-01 -4.078301246311855266e+02 0.000000000000000000e+00
-2.276935914200284294e+00 5.109676446629723978e-01 -4.060813468317950310e+02 0.000000000000000000e+00
-2.503029264653878094e+00 1.335315589700222794e-01 -4.052880915919984659e+02 0.000000000000000000e+00
-2.025132072711458786e+00 1.217445693135136731e+00 -4.026079522475218937e+02 0.000000000000000000e+00
-2.398594523862195071e+00 2.938791374456292682e-01 -4.012891047380346663e+02 0.000000000000000000e+00
-2.284225308700106982e+00 5.082374577671483484e-01 -4.009690512787473153e+02 0.000000000000000000e+00
-2.125329502255905556e+00 9.128179156972828778e-01 -3.979975368524841883e+02 0.000000000000000000e+00
-2.285435186827651677e+00 5.196300506376897443e-01 -3.953783911353303324e+02 0.000000000000000000e+00
-2.197630147355201125e+00 7.268200018736998835e-01 -3.944376654393883541e+02 0.000000000000000000e+00
-2.453393455364781595e+00 2.269511494473760993e-01 -3.910861099039657347e+02 0.000000000000000000e+00
-2.051593885328627742e+00 1.184769133402584274e+00 -3.880510241870212553e+02 0.000000000000000000e+00
-2.045778750143840696e+00 1.207202814833505222e+00 -3.875188839085021186e+02 0.000000000000000000e+00
-2.172685752035047546e+00 8.216333950903907946e-01 -3.852058398120524885e+02 0.000000000000000000e+00
-2.293241369464250390e+00 5.315390043777473705e-01 -3.841760783389248672e+02 0.000000000000000000e+00
-2.231990412984868222e+00 6.744187331516350303e-01 -3.832239246253423062e+02 0.000000000000000000e+00
-2.450261120511965540e+00 2.500779436853187709e-01 -3.812700780991784768e+02 0.000000000000000000e+00
-2.421364214629154521e+00 2.980230364191180925e-01 -3.804045039726272535e+02 0.000000000000000000e+00
-2.097687623346134789e+00 1.069113926298268513e+00 -3.784291779296119671e+02 0.000000000000000000e+00
-2.417583783013723231e+00 3.113174122588414638e-01 -3.769969127828828732e+02 0.000000000000000000e+00
-2.050669730118200196e+00 1.236819336700400340e+00 -3.764299747616582863e+02 0.000000000000000000e+00
-2.600242647179619393e+00 6.096871657947011691e-02 -3.754644827403278668e+02 0.000000000000000000e+00
-3.489062075551172093e+00 1.906446611418989523e+00 -3.745724553605926417e+02 0.000000000000000000e+00
-2.295777286383756888e+00 5.648117088270094843e-01 -3.695416217943283641e+02 0.000000000000000000e+00
-2.060368546482026275e+00 1.233236752034492678e+00 -3.692697227321594369e+02 0.000000000000000000e+00
