# CurlyM omega_m logL logPrior
-2.689744205454997594e+00 1.970001107554747000e+00 -4.859530267644327495e+01 0.000000000000000000e+00
-2.668563844056311307e+00 1.950701338431610532e+00 -4.835899418855316156e+01 0.000000000000000000e+00
-2.840543612835041642e+00 9.361303059194094889e-01 -4.834186946623965042e+01 0.000000000000000000e+00
-2.998565035643232513e+00 6.201930635881607312e-01 -4.827131410084626140e+01 0.000000000000000000e+00
-2.694714021449424290e+00 1.929208671380144180e+00 -4.805887662410390959e+01 0.000000000000000000e+00
-2.787087533658172411e+00 1.756222160259244713e+00 -4.804699242445168039e+01 0.000000000000000000e+00
-2.921574215396797403e+00 1.370763441283621153e+00 -4.794783808749959775e+01 0.000000000000000000e+00
-2.662329523262338071e+00 1.825736873955163375e+00 -4.792955566980133852e+01 0.000000000000000000e+00
-2.701825333238256466e+00 1.912361227918692341e+00 -4.789528503772304902e+01 0.000000000000000000e+00
-3.123497652019672444e+00 5.744084269383111785e-01 -4.780455381962890016e+01 0.000000000000000000e+00
-3.059648947456798052e+00 9.184024854890557865e-01 -4.774503596357826751e+01 0.000000000000000000e+00
-3.052978898937711794e+00 5.697252641863611577e-01 -4.770813015547138747e+01 0.000000000000000000e+00
-2.944852825883396363e+00 7.181240181890213847e-01 -4.770351718344065972e+01 0.000000000000000000e+00
-2.716343568532681996e+00 1.883517676669336005e+00 -4.769286475689954585e+01 0.000000000000000000e+00
-2.739314921377860035e+00 1.304716361977955152e+00 -4.747759687087859248e+01 0.000000000000000000e+00
-2.845084606743817801e+00 9.458105025978543745e-01 -4.745677669144043165e+01 0.000000000000000000e+00
-2.691435293488540381e+00 1.581732445789361563e+00 -4.723675902644654201e+01 0.000000000000000000e+00
-2.705134454850732340e+00 1.861494751791903601e+00 -4.723369479929524317e+01 0.000000000000000000e+00
-2.695924869756415099e+00 1.853234837451872563e+00 -4.715297607803670843e+01 0.000000000000000000e+00
-3.050096036642862884e+00 5.918119908709607024e-01 -4.697638995447464794e+01 0.000000000000000000e+00
-2.784090350154744709e+00 1.149559004431917053e+00 -4.693090735640647182e+01 0.000000000000000000e+00
-3.078871183272398504e+00 8.152776415217560801e-01 -4.692164299174316255e+01 0.000000000000000000e+00
-2.925697172583093142e+00 1.325373849218416167e+00 -4.687963764704344527e+01 0.000000000000000000e+00
-2.684924471319038553e+00 1.728038847857092941e+00 -4.686664515008622089e+01 0.000000000000000000e+00
-2.807922301336093440e+00 1.073947506496132576e+00 -4.678508406701487132e+01 0.000000000000000000e+00
-2.691377910586093325e+00 1.775361354731252783e+00 -4.669402303511503050e+01 0.000000000000000000e+00
-3.047193590967721466e+00 9.249949892275590724e-01 -4.667584997076392739e+01 0.000000000000000000e+00
-2.954615520865172762e+00 1.229717341123040431e+00 -4.666812773783612300e+01 0.000000000000000000e+00
-2.955720929926756835e+00 1.225626692293286579e+00 -4.664797726150646184e+01 0.000000000000000000e+00
-2.740520148314761428e+00 1.338089097760479795e+00 -4.664578652342597564e+01 0.000000000000000000e+00
-2.734003900249125429e+00 1.790028881642655945e+00 -4.657024871863452375e+01 0.000000000000000000e+00
-2.853957329656664488e+00 1.522809727306603245e+00 -4.654719826447267650e+01 0.000000000000000000e+00
-2.756483967860605677e+00 1.273811419397569811e+00 -4.649859878269888469e+01 0.000000000000000000e+00
-2.912766704004194018e+00 8.104436482145055409e-01 -4.641663099686413574e+01 0.000000000000000000e+00
