# CurlyM omega_m logL logPrior
-2.691761551291250054e+00 1.474615642016096739e+00 -4.877455793629776082e+01 0.000000000000000000e+00
-3.045068949997595809e+00 9.914354716425889391e-01 -4.848679005980537937e+01 0.000000000000000000e+00
-2.668563844056311307e+00 1.950701338431610532e+00 -4.835899418855316156e+01 0.000000000000000000e+00
-2.959834331032298760e+00 1.256132588017560892e+00 -4.808396301623896107e+01 0.000000000000000000e+00
-2.812038023130675413e+00 1.679058386804429759e+00 -4.771073705291303924e+01 0.000000000000000000e+00
-2.969692379412160577e+00 1.213037643634341967e+00 -4.766697320466096954e+01 0.000000000000000000e+00
-2.698573987281764008e+00 1.502631374553939692e+00 -4.763107364582065628e+01 0.000000000000000000e+00
-2.925639585845464907e+00 7.568764050768985729e-01 -4.758524831197990324e+01 0.000000000000000000e+00
-2.697336303039654659e+00 1.513524867722072509e+00 -4.758160300067314807e+01 0.000000000000000000e+00
-2.672026664432708198e+00 1.779448721888275964e+00 -4.745999744913699914e+01 0.000000000000000000e+00
-2.801739404163871239e+00 1.694066370769972352e+00 -4.740713332295174354e+01 0.000000000000000000e+00
-2.674544784342669956e+00 1.802576233648347293e+00 -4.736440759002115186e+01 0.000000000000000000e+00
-2.801618563541594664e+00 1.690773914122073229e+00 -4.731668156206084319e+01 0.000000000000000000e+00
-2.930615339821796894e+00 7.534524259227015630e-01 -4.730371963983926520e+01 0.000000000000000000e+00
-2.735106444999266806e+00 1.831293805747775005e+00 -4.726789476420903924e+01 0.000000000000000000e+00
-2.887597021537726683e+00 8.481092158383658486e-01 -4.713084715010776193e+01 0.000000000000000000e+00
-2.741422859056787509e+00 1.810178973981052986e+00 -4.707601366190925063e+01 0.000000000000000000e+00
-2.686020231810157810e+00 1.649260487375060036e+00 -4.707441954157231834e+01 0.000000000000000000e+00
-2.699574750690256764e+00 1.540637897004601964e+00 -4.704395552757156196e+01 0.000000000000000000e+00
-2.683184937851450513e+00 1.789230134779043357e+00 -4.700672568159343001e+01 0.000000000000000000e+00
-2.979943929818705595e+00 1.160301928774438274e+00 -4.699745992898295555e+01 0.000000000000000000e+00
-3.014553502693060327e+00 6.289819070038471516e-01 -4.694044041844788495e+01 0.000000000000000000e+00
-2.745969542769620020e+00 1.300493525872282286e+00 -4.691209277583173076e+01 0.000000000000000000e+00
-2.944991478297561471e+00 7.381459112810386802e-01 -4.680043885907463874e+01 0.000000000000000000e+00
-3.030712219508471694e+00 9.856042121979893267e-01 -4.675961815313238645e+01 0.000000000000000000e+00
-2.815271054541492290e+00 1.626525895581088399e+00 -4.658061518666979595e+01 0.000000000000000000e+00
-2.810921707602724418e+00 1.071627654419118780e+00 -4.655826955795063071e+01 0.000000000000000000e+00
-2.754241531158005962e+00 1.753955285942088604e+00 -4.646168123301074360e+01 0.000000000000000000e+00
-2.912766704004194018e+00 8.104436482145055409e-01 -4.641663099686413574e+01 0.000000000000000000e+00
-2.725996770344702558e+00 1.783603312763517579e+00 -4.638094072601477791e+01 0.000000000000000000e+00
-2.778991805546361160e+00 1.189406201779049432e+00 -4.636129399772726600e+01 0.000000000000000000e+00
-2.720658565643394144e+00 1.782153354049666572e+00 -4.633795627582991727e+01 0.000000000000000000e+00
-3.059016557077314236e+00 8.642124232643852988e-01 -4.625971007534447921e+01 0.000000000000000000e+00
-2.701399019694338044e+00 1.722415960429405812e+00 -4.620390636392115624e+01 0.000000000000000000e+00
-3.047840360372453539e+00 9.009966537364868522e-01 -4.613020415576368549e+01 0.000000000000000000e+00
-2.723237576582296704e+00 1.759583902240301034e+00 -4.609319109975526629e+01 0.000000000000000000e+00
-2.740299202812984447e+00 1.747300271773487568e+00 -4.605471043462676306e+01 0.000000000000000000e+00
-3.068552490146905676e+00 6.173525281066598591e-01 -4.602974463475961642e+01 0.000000000000000000e+00
-2.733800009518283058e+00 1.750510361430552608e+00 -4.602645819736887489e+01 0.000000000000000000e+00
-2.797297508999017968e+00 1.136573363608943676e+00 -4.600567905962572723e+01 0.000000000000000000e+00
-2.879606974701458100e+00 1.427627183064364536e+00 -4.591158543031799155e+01 0.000000000000000000e+00
-2.991007463060531002e+00 1.086720269773849390e+00 -4.585761677107448264e+01 0.000000000000000000e+00
-2.715798549820063634e+00 1.548692509038447795e+00 -4.583787713654763962e+01 0.000000000000000000e+00
-2.711827796037943994e+00 1.591572306224717792e+00 -4.583356521961849950e+01 0.000000000000000000e+00
-2.794750947434315957e+00 1.152429119239403388e+00 -4.583096358452562669e+01 0.000000000000000000e+00
-2.716159223185840244e+00 1.550550893825798804e+00 -4.580414838234342056e+01 0.000000000000000000e+00
-2.768744234467767296e+00 1.690400705406655879e+00 -4.579166212431803018e+01 0.000000000000000000e+00
-2.978111309489446246e+00 7.095632696919444982e-01 -4.575473773543026113e+01 0.000000000000000000e+00
-3.082791454511872864e+00 6.629346796537638475e-01 -4.572497581165759328e+01 0.000000000000000000e+00
-2.850171853919725162e+00 9.818441935439021773e-01 -4.570301271577627489e+01 0.000000000000000000e+00
-2.713873373152795754e+00 1.673835112169306250e+00 -4.568095085073682782e+01 0.000000000000000000e+00
-3.082503416621443115e+00 6.881903091720253940e-01 -4.566559733459038029e+01 0.000000000000000000e+00
-3.007822877659161342e+00 1.023453552127333577e+00 -4.565733334446380098e+01 0.000000000000000000e+00
-2.716156828548809354e+00 1.581268396944918386e+00 -4.564687518050083526e+01 0.000000000000000000e+00
-3.080171976493037533e+00 6.629863766824075633e-01 -4.563625542856512851e+01 0.000000000000000000e+00
-2.750133002717257025e+00 1.706453949870386122e+00 -4.563374462048705738e+01 0.000000000000000000e+00
-2.838301835635060222e+00 1.527755564346957140e+00 -4.562017642509655246e+01 0.000000000000000000e+00
-2.899817688626789014e+00 8.608673216217375135e-01 -4.558935812350224381e+01 0.000000000000000000e+00
-3.075539412652011251e+00 7.459351309334493196e-01 -4.558524508454446078e+01 0.000000000000000000e+00
-2.831347139983702021e+00 1.040615100658514702e+00 -4.558254675234957887e+01 0.000000000000000000e+00
-2.715992152386483394e+00 1.651014040421203699e+00 -4.556774530039131577e+01 0.000000000000000000e+00
-2.952878417334811267e+00 1.197282719536877149e+00 -4.555599294190920290e+01 0.000000000000000000e+00
-2.900642386038149390e+00 8.608685727610745353e-01 -4.552540628634401543e+01 0.000000000000000000e+00
-2.722346728204363853e+00 1.674493067845133520e+00 -4.545728840605303134e+01 0.000000000000000000e+00
-2.881501392617146884e+00 9.079532362831563841e-01 -4.544941607461789346e+01 0.000000000000000000e+00
-2.754027791811656911e+00 1.341966398478425138e+00 -4.544267760905552933e+01 0.000000000000000000e+00
-2.736551578516119410e+00 1.696198990273074303e+00 -4.543614745398297572e+01 0.000000000000000000e+00
-2.845673064180471723e+00 1.500466337400665706e+00 -4.542631050695721484e+01 0.000000000000000000e+00
-2.806637581679921389e+00 1.594957821984743784e+00 -4.542486586579193641e+01 0.000000000000000000e+00
-2.938951530576763282e+00 1.235346346158241237e+00 -4.542475328355198627e+01 0.000000000000000000e+00
-2.728674826114323881e+00 1.681211835462845805e+00 -4.537991272140613574e+01 0.000000000000000000e+00
-2.938037547420400131e+00 1.235958099574035129e+00 -4.536608645609474166e+01 0.000000000000000000e+00
-2.757942549364583051e+00 1.677951478711514177e+00 -4.536191848100390445e+01 0.000000000000000000e+00
-2.738428285540758012e+00 1.436377556145946865e+00 -4.535009619753993348e+01 0.000000000000000000e+00
-2.813960533842529088e+00 1.104896239910474476e+00 -4.534636534600841884e+01 0.000000000000000000e+00
-2.745057494407407539e+00 1.682986201965298356e+00 -4.530540349446466308e+01 0.000000000000000000e+00
