# CurlyM omega_m logL logPrior
-2.593773950125281225e+00 7.334949534194283860e-01 -1.378657081387798655e+02 0.000000000000000000e+00
-3.178578338629099331e+00 1.960000097489317472e+00 -1.763304977056488667e+02 0.000000000000000000e+00
-2.488983293769053695e+00 8.488986997723327876e-01 -1.663602819502126238e+02 0.000000000000000000e+00
-3.454615378238495627e+00 3.082727761585896675e-01 -8.842423249617263536e+01 0.000000000000000000e+00
-2.027652676199469095e+00 3.979398479694310486e-01 -7.147439298492614626e+02 0.000000000000000000e+00
-3.334060020931729262e+00 6.101405908753938512e-01 -8.204542662032434919e+01 0.000000000000000000e+00
-3.209343452854880763e+00 1.128481012312545051e+00 -9.426814700535396696e+01 0.000000000000000000e+00
-2.381153704212230160e+00 3.579623835035494750e-01 -3.847361658868616701e+02 0.000000000000000000e+00
-3.418720682962794299e+00 2.507620607822019787e-01 -7.743130360806276258e+01 0.000000000000000000e+00
-2.255912983901117830e+00 1.120970251100654069e+00 -2.493383404491656847e+02 0.000000000000000000e+00
-2.114949757561863208e+00 9.563970022212177069e-01 -3.943130594821478780e+02 0.000000000000000000e+00
-3.355907153690343314e+00 3.385072215409587471e-01 -6.935552842055020051e+01 0.000000000000000000e+00
-3.486603878037283444e+00 8.945976394187084013e-01 -1.823797877575977111e+02 0.000000000000000000e+00
-2.673274302424113014e+00 1.111140314876752244e+00 -6.702488102788313995e+01 0.000000000000000000e+00
-2.013816378564532439e+00 8.648662289956596805e-01 -5.159083815734617247e+02 0.000000000000000000e+00
-2.099044333214007629e+00 1.749326788801897292e+00 -2.478766652020178753e+02 0.000000000000000000e+00
-2.192026000516987150e+00 1.652166859078644023e+00 -2.043464661409333871e+02 0.000000000000000000e+00
-3.264114733770150156e+00 5.910735347958958608e-01 -6.448776443278930515e+01 0.000000000000000000e+00
-3.072541452894365310e+00 5.338118063411642078e-01 -4.853066406517081788e+01 0.000000000000000000e+00
-3.252741446713762752e+00 1.310733854432627021e+00 -1.309721913559399411e+02 0.000000000000000000e+00
-3.388295411470385154e+00 2.424461591866549637e-01 -7.220654318772056968e+01 0.000000000000000000e+00
-2.724127231125331505e+00 1.250495134125462426e+00 -5.081722617092686534e+01 0.000000000000000000e+00
-3.457821349302040659e+00 1.871700329926982098e+00 -3.430568294883235581e+02 0.000000000000000000e+00
-2.238771439454326106e+00 3.898276363545657430e-01 -4.956801470869851869e+02 0.000000000000000000e+00
-2.300583154325720692e+00 8.329477490158896380e-01 -2.835025755283775766e+02 0.000000000000000000e+00
-3.227166671328945302e+00 1.359638809289256178e+00 -1.261029603551456830e+02 0.000000000000000000e+00
-2.243090967555584125e+00 8.820835100532659068e-01 -3.123870938757380031e+02 0.000000000000000000e+00
-2.703188008898258499e+00 1.925016549954974510e+00 -4.810668211039210718e+01 0.000000000000000000e+00
-3.377799341924386578e+00 8.409684392308730549e-02 -7.706523355360607752e+01 0.000000000000000000e+00
-2.020745207187693904e+00 1.335122863176763097e+00 -3.789486454879663029e+02 0.000000000000000000e+00
-3.269085018229373141e+00 1.213754076099717194e+00 -1.259531887675246651e+02 0.000000000000000000e+00
-2.812890402016819724e+00 1.262472543222901145e+00 -4.293339901349049370e+01 0.000000000000000000e+00
-2.192666768141672051e+00 1.348581410437822869e+00 -2.489591841079871983e+02 0.000000000000000000e+00
-3.177219219403777828e+00 6.939904005932537867e-01 -5.474218386274534254e+01 0.000000000000000000e+00
-2.426413178303175489e+00 1.873449017427454510e+00 -8.524532430433313834e+01 0.000000000000000000e+00
-2.346674728032609902e+00 5.742062359154529450e-01 -3.262553692772967793e+02 0.000000000000000000e+00
-2.178550905215636657e+00 9.127623893122464027e-01 -3.539972777251475122e+02 0.000000000000000000e+00
-2.947971668142285839e+00 3.017121028227939261e-01 -9.359753998349057724e+01 0.000000000000000000e+00
-2.742799703701639835e+00 1.824252781273160817e+00 -4.737984956987724416e+01 0.000000000000000000e+00
-2.794294315336137924e+00 1.515732511539378269e+00 -4.384440707816984428e+01 0.000000000000000000e+00
-3.103413404403550846e+00 1.372734992276010368e+00 -8.385539391090469508e+01 0.000000000000000000e+00
-2.572595700249653117e+00 1.491474394947839288e+00 -6.766412064232378043e+01 0.000000000000000000e+00
-2.791594234424705334e+00 1.454202358831689690e+00 -4.333252562346421399e+01 0.000000000000000000e+00
-3.426037571924585912e+00 1.951938808676559001e+00 -3.330965183398105864e+02 0.000000000000000000e+00
-3.145070719702502071e+00 2.824639218425961662e-01 -6.202805243437115479e+01 0.000000000000000000e+00
-3.329516637897672382e+00 6.836932963111711503e-01 -8.760943915753759370e+01 0.000000000000000000e+00
-2.714450226707034286e+00 1.745732267047397368e+00 -4.602958204279915577e+01 0.000000000000000000e+00
-3.108037460585848955e+00 1.778140023928920455e+00 -1.236346651410643460e+02 0.000000000000000000e+00
-2.941345065535577508e+00 1.892835516717104039e+00 -7.900525472460907395e+01 0.000000000000000000e+00
-3.121140674011468441e+00 5.052494184655877962e-01 -4.897076661724432967e+01 0.000000000000000000e+00
-2.662559831565074475e+00 3.530089070649942151e-01 -1.953839957062611461e+02 0.000000000000000000e+00
-3.462781709552251286e+00 1.290128000518058871e+00 -2.393881666705093494e+02 0.000000000000000000e+00
-3.206629645863040778e+00 7.747402229299945597e-01 -6.404219300387580915e+01 0.000000000000000000e+00
-2.127161869224823310e+00 1.868836442182518542e+00 -2.151638124456773653e+02 0.000000000000000000e+00
-2.847754161274159923e+00 1.538568989769931061e+00 -4.651418165711169905e+01 0.000000000000000000e+00
-3.311601687684683437e+00 1.390089777048204578e+00 -1.690015999466465928e+02 0.000000000000000000e+00
-3.033678201263430019e+00 1.119998988536034190e+00 -5.210310887123990398e+01 0.000000000000000000e+00
-2.763569807322599825e+00 1.031951527171584670e+00 -5.431150635365747092e+01 0.000000000000000000e+00
