2025-05-25, 16:05:40 - cpnest.cpnest.CPNest                  : Running with 2 parallel threads
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -3.4678443969688617, 'omega_L': 0.5552719275995797, 'omega_m': 0.6565916085106718}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.6301006580139266, 'omega_L': 1.4803161768431012, 'omega_m': 0.7194043867917834}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 1.2828686697101537, 'omega_L': 0.9499395202970087, 'omega_m': 0.40888890792396243}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.547254875054392, 'omega_L': 0.8719375718182909, 'omega_m': 1.259969922794774}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -2.7882859588552265, 'omega_L': 1.004680443837548, 'omega_m': 1.4372090305255578}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.2230883770239407, 'omega_L': 0.7794060980348967, 'omega_m': 1.1612804162216048}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.4677034813770904, 'omega_L': 0.7817550674572504, 'omega_m': 0.5553761321855923}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -1.3670255305278571, 'omega_L': 1.3471358661309396, 'omega_m': 1.4361292496883435}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 1.1826129728989923, 'omega_L': 1.2066029765902915, 'omega_m': 0.5473289758520584}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 1.5032871945743107, 'omega_L': 1.0206992080985602, 'omega_m': 0.9596150412112431}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.9958131591573132, 'omega_L': 1.3171316248604197, 'omega_m': 0.2611650676587008}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.465120815860173, 'omega_L': 0.6284453580664435, 'omega_m': 0.5958038665892313}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 1.9530191164898065, 'omega_L': 0.09043355973919853, 'omega_m': 1.2032214631202387}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -3.8498654038834834, 'omega_L': 0.7606524277958386, 'omega_m': 1.0568719622843588}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -1.0267156014033931, 'omega_L': 0.979165194334582, 'omega_m': 1.0763196431191042}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -3.2496631546072914, 'omega_L': 1.3121690715389125, 'omega_m': 0.6632111331062649}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 0.47345416182849753, 'omega_L': 0.5354365083542743, 'omega_m': 0.47123861037111486}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -0.35950897809942095, 'omega_L': 0.36478014691927463, 'omega_m': 0.7311560528351582}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -4.621157769587879, 'omega_L': 0.6872023589558256, 'omega_m': 0.8919371699016733}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': 2.6650704041924556, 'omega_L': 0.42756736490936986, 'omega_m': 1.4550807907329126}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : Received non-finite logL value nan with parameters {'CurlyM': -0.06046632956562359, 'omega_L': 1.280307216082886, 'omega_m': 1.18578619958555}
2025-05-25, 16:05:41 - cpnest.sampler.Sampler                : You may want to check your likelihood function to improve sampling
