# CurlyM omega_L omega_m logL logPrior
-4.173138647358809905e+00 -1.104678214343456644e-01 2.172821466031029658e-01 -8.344239109905882401e+01 0.000000000000000000e+00
-3.110398744419119677e+00 -4.798811840746156632e-01 5.541275940932784833e-02 -5.664382669610403354e+03 0.000000000000000000e+00
-2.760493103519781499e+00 -3.842908499957509161e-02 5.045099291830584809e-03 -4.124652844013325392e+01 0.000000000000000000e+00
-2.536092722244085884e+00 -8.899595350238073688e-02 3.522571345571848950e-02 -3.940794648077939399e+01 0.000000000000000000e+00
-4.393352909049020205e+00 -3.023397930133056577e-01 3.254617190197411358e-01 -8.517973804204328871e+02 0.000000000000000000e+00
-1.690578305101408052e+00 -6.940478823918185824e-01 2.455849741230163863e-01 -2.849470889213538612e+03 0.000000000000000000e+00
-2.150955932889219824e+00 -4.427047802639923479e-01 3.668407593364325647e-01 -4.432127661621176884e+01 0.000000000000000000e+00
-2.599379653205306617e+00 -5.080879549503318493e-02 4.392074332810183210e-03 -3.935815093375426699e+01 0.000000000000000000e+00
-2.200511525331887874e+00 -1.064635326060213300e-01 2.094338398830429895e-02 -3.905872419278778551e+01 0.000000000000000000e+00
-3.754087892069346566e+00 4.471524176431746628e-02 2.962185959391414602e-01 -6.504489346966345693e+03 0.000000000000000000e+00
9.542420094067360914e-01 -6.017082335598148424e-01 4.173490788901631499e-01 -2.012728908881920461e+03 0.000000000000000000e+00
-4.330089201796109677e+00 6.355183931931594754e-02 7.757720363125366614e-01 -2.915756612399377045e+05 0.000000000000000000e+00
-2.783309831383388389e+00 -2.948976827694441694e-01 2.928341888651291303e-01 -5.112648043176108814e+01 0.000000000000000000e+00
-3.829528063698216300e+00 -2.553594297788474021e-01 6.803820902743077381e-01 -1.216529657889218834e+04 0.000000000000000000e+00
-2.381405475614959855e+00 -1.245802614651234097e-01 5.782812728562290033e-02 -3.902899395434578622e+01 0.000000000000000000e+00
-2.487051047800586279e+00 -7.535097526771747378e-02 1.441743789287981518e-02 -3.949647995969132097e+01 0.000000000000000000e+00
-2.274770220607252202e+00 -3.109066942007942536e-01 2.407782155297429894e-01 -4.127442998924293960e+01 0.000000000000000000e+00
-2.508454200882710872e+00 -2.464891262515829795e-01 1.983333800239812927e-01 -4.006635025538091810e+01 0.000000000000000000e+00
-4.526403308819653581e+00 1.104530331759826650e-02 1.318681895167627682e-01 -1.029167255302120338e+02 0.000000000000000000e+00
-3.990419080055712886e+00 -2.635360984012778962e-01 3.743494158271578054e-01 -6.799716148890883005e+01 0.000000000000000000e+00
-2.977464234880193406e+00 -4.066760958107236701e-01 4.231036399483253940e-01 -4.640558637964620203e+01 0.000000000000000000e+00
-2.721081225162094164e+00 -1.598471293929871473e-01 1.279858368390108803e-01 -4.080450224614347832e+01 0.000000000000000000e+00
