# CurlyM omega_L omega_m logL logPrior
-2.348866269644874105e+00 -8.952681766204584335e-02 1.089224679331640910e+00 -2.849454478638170362e+08 0.000000000000000000e+00
-6.836112735092381154e-01 3.824570911180256161e-01 6.168949582937988119e-01 -1.878812587937267721e+08 0.000000000000000000e+00
2.044604952756239324e+00 2.563637764734787161e-02 9.725358080743735645e-01 -9.809661308729571104e+07 0.000000000000000000e+00
1.921040434839982547e+00 2.191468583949803262e-01 7.777615048729004110e-01 -5.948109815445205569e+07 0.000000000000000000e+00
1.825568317404495211e+00 4.578094402730549239e-01 5.384146413598422942e-01 -4.919585557197500020e+07 0.000000000000000000e+00
-1.789408588566563152e+00 7.102275960025052903e-01 2.841625300950745281e-01 -2.262407573670785129e+07 0.000000000000000000e+00
1.101944653416005782e+00 -3.593829665664795003e-01 1.350493495668237953e+00 -1.919132494099291414e+07 0.000000000000000000e+00
2.550195794231217672e+00 -2.891871885262110586e-01 1.277944347612748777e+00 -1.769487912331232429e+07 0.000000000000000000e+00
-2.264414437415016135e+00 -7.896132838182348679e-02 1.070456461652420144e+00 -1.356132604093733057e+07 0.000000000000000000e+00
2.422697598101684502e+00 -1.615654928766646625e-01 1.146187768889964431e+00 -1.275952849466833286e+07 0.000000000000000000e+00
1.668525132450110693e+00 2.912849085128856319e-01 6.935576179333514668e-01 -1.218491127474617399e+07 0.000000000000000000e+00
6.791362712782490485e-01 4.410217852025002383e-01 5.435261816524837863e-01 -1.082173440344015695e+07 0.000000000000000000e+00
5.169113878305996446e-01 -2.483069421039579838e-01 1.231246140378777332e+00 -9.326762183464646339e+06 0.000000000000000000e+00
-1.633765855433005010e+00 -7.348642453532922003e-02 1.059813210648692827e+00 -9.126857707967579365e+06 0.000000000000000000e+00
1.250732525210511925e+00 3.353620344188052993e-01 6.420121059217600568e-01 -7.697039561697556637e+06 0.000000000000000000e+00
1.213812212884179065e+00 7.192203387742831522e-01 2.560017443644180268e-01 -7.105824058482183143e+06 0.000000000000000000e+00
-2.062442429234542463e+00 -4.378907692033229826e-01 1.421528522581635201e+00 -7.073171975255543366e+06 0.000000000000000000e+00
1.399510019526136739e+00 3.582516256916143949e-01 6.164101918216158271e-01 -6.941434814432071522e+06 0.000000000000000000e+00
