# CurlyM omega_L omega_m logL logPrior
-2.693084986643154544e+00 -6.812182339920931362e-01 6.788719809048218146e-01 -4.872183112133748040e+01 0.000000000000000000e+00
-1.633847379095038965e+00 -2.257238542761599853e-01 7.447418277168579848e-02 -4.824368375010882204e+01 0.000000000000000000e+00
-2.173238784240223431e+00 -5.035170923249294717e-01 4.207807533823391122e-01 -4.793257592679041323e+01 0.000000000000000000e+00
-2.631880249422908769e+00 -3.991659350224078251e-01 3.819888535446604449e-01 -4.737440229097183675e+01 0.000000000000000000e+00
-2.706501903673383058e+00 -6.285288335769300128e-01 6.056043339367833678e-01 -4.694509877425829103e+01 0.000000000000000000e+00
-2.340501052460727038e+00 -6.286785072359785120e-01 5.703356209746750505e-01 -4.670947975072926539e+01 0.000000000000000000e+00
-2.098006162152208809e+00 -3.918668122597052106e-01 2.973789064934905246e-01 -4.661187903195494897e+01 0.000000000000000000e+00
-3.371731695944021112e+00 -6.131827415515234136e-01 6.699652613402178325e-01 -4.653808280885656501e+01 0.000000000000000000e+00
-3.124422187342150714e+00 -9.650778251179287226e-02 1.123874082331330071e-01 -4.653623613902527012e+01 0.000000000000000000e+00
-3.078353416673764720e+00 -6.614417986161008622e-01 6.796700388164035322e-01 -4.650933985348380162e+01 0.000000000000000000e+00
-3.221877873254971103e+00 -3.682656910058726973e-01 4.047083928289139099e-01 -4.649108815309929099e+01 0.000000000000000000e+00
-2.344417164045399904e+00 -6.913387282468486106e-01 6.455117099865397279e-01 -4.630776601062321873e+01 0.000000000000000000e+00
-2.613258287023244808e+00 -5.364771340374283604e-01 5.197526744595994952e-01 -4.629834581007839489e+01 0.000000000000000000e+00
-2.869700750261460875e+00 -9.299260645844182882e-01 9.364379563761177083e-01 -4.623072037248247312e+01 0.000000000000000000e+00
-2.143937686413862842e+00 -3.233119226922293032e-01 2.495146861959906537e-01 -4.620158100950117586e+01 0.000000000000000000e+00
-2.976893862310102001e+00 -6.759452969170167691e-01 6.997843336364459876e-01 -4.614689933417810863e+01 0.000000000000000000e+00
-2.440000010407754605e+00 -6.227142330675450310e-01 5.742295700822139803e-01 -4.613117329114444232e+01 0.000000000000000000e+00
-3.292237409656199265e+00 -9.884239834287971149e-01 1.049083859709669442e+00 -4.607867764171526659e+01 0.000000000000000000e+00
-3.373727846198753433e+00 -8.305944455104602442e-01 8.932959813436790464e-01 -4.604056362111575851e+01 0.000000000000000000e+00
-3.176754875446103021e+00 -1.322190007878543405e-01 1.515975993903868335e-01 -4.601372435006475570e+01 0.000000000000000000e+00
-2.389082808068897279e+00 -7.029995999960084729e-01 6.552382691012331728e-01 -4.594840150006634616e+01 0.000000000000000000e+00
-3.134411170756406406e+00 -8.147255086967684079e-01 8.450453634923161816e-01 -4.592514364335647059e+01 0.000000000000000000e+00
-1.971062775506864373e+00 -3.739786140799278846e-01 2.682067689850348713e-01 -4.590554313883706783e+01 0.000000000000000000e+00
-2.380863659307108637e+00 -3.271811971214919068e-01 2.798200448975112775e-01 -4.589904124092436888e+01 0.000000000000000000e+00
-2.227109386602207586e+00 -1.219942086653378333e-01 2.593678211957359259e-02 -4.589082183293977124e+01 0.000000000000000000e+00
