# CurlyM omega_L omega_m logL logPrior
-3.369885244962177229e+00 -8.668149170643787427e-01 9.201083869414525829e-01 -4.929028324477543066e+01 0.000000000000000000e+00
-2.438095211569996756e+00 -5.934168311000953544e-01 5.407934972699792731e-01 -4.794465728389315728e+01 0.000000000000000000e+00
-3.135741342284376287e+00 -1.504979536350974922e-01 1.572949566263993348e-01 -4.756955982354423185e+01 0.000000000000000000e+00
-2.126794142065251858e+00 -6.205760503428904284e-01 5.428756724176921900e-01 -4.747026488100647867e+01 0.000000000000000000e+00
-3.172142379047544480e+00 -6.041166726813634869e-01 6.459428458134470752e-01 -4.734152320500965772e+01 0.000000000000000000e+00
-3.126834925993253300e+00 -8.563138284324259830e-01 8.854627375003181200e-01 -4.705037976243166753e+01 0.000000000000000000e+00
-2.524992642568564705e+00 -8.534032189659498391e-01 8.230477316231242790e-01 -4.702067716656345198e+01 0.000000000000000000e+00
-2.329490087300666534e+00 -7.731686057681231850e-01 7.252987448022238937e-01 -4.701918104892785522e+01 0.000000000000000000e+00
-2.989005578611979352e+00 -4.228155791931660357e-01 4.222524940953022998e-01 -4.700221573306155420e+01 0.000000000000000000e+00
-2.970921931290056772e+00 -4.975090668226408441e-01 4.976303180143414884e-01 -4.700013434640009535e+01 0.000000000000000000e+00
-2.949589709987642916e+00 -8.478669215096183986e-01 8.737523837130773963e-01 -4.682864080959983966e+01 0.000000000000000000e+00
-2.785104953602282940e+00 -6.565955238851342024e-01 6.430778323197532398e-01 -4.678852466918844044e+01 0.000000000000000000e+00
-3.342506284297977359e+00 -9.532580103757476442e-01 1.018361731315893470e+00 -4.648937832075004195e+01 0.000000000000000000e+00
-2.741319878841768087e+00 -7.884263039704287879e-01 7.907617807338122029e-01 -4.648556048376750738e+01 0.000000000000000000e+00
-3.149520245032975119e+00 -9.105671048268765277e-01 9.569803747155660734e-01 -4.638076758577472702e+01 0.000000000000000000e+00
-2.512025080549019407e+00 -8.522893840546056365e-01 8.274035084223839709e-01 -4.632117727739453272e+01 0.000000000000000000e+00
-3.139816084614613256e+00 -5.050577711028629846e-01 5.253883595005446328e-01 -4.628245357824408046e+01 0.000000000000000000e+00
-3.353241781035802838e+00 -9.489972695852333384e-01 1.007966302190925756e+00 -4.615344126183163809e+01 0.000000000000000000e+00
-3.144953305596632109e+00 -8.325522635335350641e-01 8.642828809883946750e-01 -4.611782163213965902e+01 0.000000000000000000e+00
-2.674214617967068719e+00 -6.773869894991526586e-01 6.697749577077796168e-01 -4.601044799457769585e+01 0.000000000000000000e+00
-3.266563753406651838e+00 -4.610531549162267817e-01 4.964515136892246883e-01 -4.594916932433458356e+01 0.000000000000000000e+00
-1.971062775506864373e+00 -3.739786140799278846e-01 2.682067689850348713e-01 -4.590554313883706783e+01 0.000000000000000000e+00
-1.726511099219759648e+00 -2.336610967020866514e-01 9.647522508684147624e-02 -4.564779255700207017e+01 0.000000000000000000e+00
-3.267786581025321269e+00 -6.956981224821409127e-01 7.456695083795603640e-01 -4.562589536890877895e+01 0.000000000000000000e+00
-3.153668278629077282e+00 -2.964084836607661089e-01 3.131479578982350187e-01 -4.560342798705362810e+01 0.000000000000000000e+00
-2.714302768518244591e+00 -7.500677609551344993e-01 7.474285740569605041e-01 -4.559943174583394665e+01 0.000000000000000000e+00
-2.603205972017974101e+00 -3.675450781251224375e-01 3.241789543470288137e-01 -4.559900724491026125e+01 0.000000000000000000e+00
-2.177370960809181799e+00 -2.210353121526156261e-01 1.257010876119455112e-01 -4.556128345305369720e+01 0.000000000000000000e+00
-3.052233338131324913e+00 -4.457236202880540676e-01 4.550819490132674838e-01 -4.548350187389028321e+01 0.000000000000000000e+00
-3.157575237752879183e+00 -1.889603935020219561e-01 2.094864246824975351e-01 -4.543520715883213512e+01 0.000000000000000000e+00
-1.883342758318254706e+00 -3.518501638059997605e-01 2.418295956816632342e-01 -4.543223068389561803e+01 0.000000000000000000e+00
-3.126747800034791691e+00 -4.011275413548655022e-01 4.179634500368090144e-01 -4.541963650293954657e+01 0.000000000000000000e+00
-3.058213412606268555e+00 -7.219997553857393502e-01 7.537711077740008037e-01 -4.540776640412938292e+01 0.000000000000000000e+00
-3.038770461830790470e+00 -1.631253256800272999e-01 1.739939271697067968e-01 -4.536683597210178931e+01 0.000000000000000000e+00
-3.174125671158344097e+00 -3.101701222408495551e-01 3.306376076098742067e-01 -4.536029659567083883e+01 0.000000000000000000e+00
-2.798642811657037210e+00 -5.952163141526950474e-01 5.981038292338608509e-01 -4.533872208306910778e+01 0.000000000000000000e+00
-3.265393233367704706e+00 -6.178754715574303891e-01 6.590319273716462867e-01 -4.531925813570561701e+01 0.000000000000000000e+00
-3.273116834057983482e+00 -5.179181146633500266e-01 5.592731094911156386e-01 -4.525659797442985877e+01 0.000000000000000000e+00
-2.009162097572087635e+00 -2.460525018829434751e-01 1.535806782517945002e-01 -4.517639897620255596e+01 0.000000000000000000e+00
-2.913228220160897664e+00 -9.151832915046880235e-01 9.354749185445697668e-01 -4.515354117765556197e+01 0.000000000000000000e+00
-3.141488205472471762e+00 -4.556058592998490919e-01 4.764896964117458777e-01 -4.514758655093462636e+01 0.000000000000000000e+00
-3.197844581315558710e+00 -6.604876633097607197e-01 6.947329756866884587e-01 -4.511714618087649598e+01 0.000000000000000000e+00
-3.159328736640681257e+00 -2.017708902958444406e-01 2.191716455621272042e-01 -4.511628836391657416e+01 0.000000000000000000e+00
-3.230016310780019051e+00 -9.393523581064989747e-01 9.905015115256041724e-01 -4.508924117854343905e+01 0.000000000000000000e+00
-2.373093901118954463e+00 -4.438083500874323573e-01 3.971239106906980787e-01 -4.508013920893854021e+01 0.000000000000000000e+00
-1.961045399704481662e+00 -3.701965186435592359e-01 2.660930488205708322e-01 -4.506940035742604067e+01 0.000000000000000000e+00
-3.239766070088026861e+00 -4.589051773367708864e-01 4.959669903297975746e-01 -4.505846707619682689e+01 0.000000000000000000e+00
-2.386482067639198679e+00 -6.499819885568085542e-01 6.060289951558015531e-01 -4.505253415617574575e+01 0.000000000000000000e+00
-2.217550409881134055e+00 -5.108380974468789137e-01 4.381577764813259224e-01 -4.503742474983020116e+01 0.000000000000000000e+00
-2.316225067030822871e+00 -5.008499601432622184e-01 4.360054394275898471e-01 -4.503417183543889024e+01 0.000000000000000000e+00
-2.181950749653448263e+00 -4.806368897112036076e-01 4.028486685947250678e-01 -4.500028795446389296e+01 0.000000000000000000e+00
-2.473081399802239400e+00 -1.021532465867813905e-01 3.273883179578589847e-02 -4.491106437773756710e+01 0.000000000000000000e+00
-2.155415738669713921e+00 -1.196283384766408664e-01 1.683901732238926585e-02 -4.489966661303756013e+01 0.000000000000000000e+00
-2.252065604257231346e+00 -4.327000047179444531e-01 3.714402609319559234e-01 -4.489748618386254719e+01 0.000000000000000000e+00
-2.937993729471512605e+00 -6.838479818219221906e-01 6.900670478566666155e-01 -4.489231987229705823e+01 0.000000000000000000e+00
-2.776418430177598928e+00 -8.490936000488579216e-01 8.529116849516567012e-01 -4.489007281519328529e+01 0.000000000000000000e+00
-3.011374862880561665e+00 -9.082416812271181250e-01 9.379418020271768075e-01 -4.486980774745467926e+01 0.000000000000000000e+00
-2.653027423413157226e+00 -8.192663576181070662e-01 8.076174653593586328e-01 -4.482423082609874854e+01 0.000000000000000000e+00
-2.834030876318998526e+00 -2.060119668473702481e-01 1.998612629745825653e-01 -4.479631387979539880e+01 0.000000000000000000e+00
-3.063470716735464894e+00 -8.805127272381059189e-01 9.147261905848900199e-01 -4.478158777342027719e+01 0.000000000000000000e+00
-2.723896107372856257e+00 -8.705032708412743236e-01 8.664698909777319713e-01 -4.478060419351135835e+01 0.000000000000000000e+00
-3.237354436636511679e+00 -6.300548817463389462e-01 6.726144064986560034e-01 -4.477447009521558385e+01 0.000000000000000000e+00
-3.100454534626055025e+00 -9.005207033971022179e-01 9.385192752032039953e-01 -4.476937150909257213e+01 0.000000000000000000e+00
-2.387735586107912145e+00 -1.908456769919146256e-01 1.391706970171670832e-01 -4.476920338488130113e+01 0.000000000000000000e+00
-2.581910880544014297e+00 -7.340713359793922255e-01 7.077892735381843270e-01 -4.475279911604061311e+01 0.000000000000000000e+00
-3.222047522747781834e+00 -8.662669735902990276e-01 9.132956686227508003e-01 -4.474277655528481290e+01 0.000000000000000000e+00
-3.147736558132505191e+00 -7.490615488129277466e-01 7.882946458655613053e-01 -4.473674186613437342e+01 0.000000000000000000e+00
-2.312721525520906152e+00 -4.905513580796938555e-01 4.253686568723099581e-01 -4.473130935476931569e+01 0.000000000000000000e+00
-2.440852991638336800e+00 -2.440802023163053391e-01 1.785527515841773827e-01 -4.470898562219937133e+01 0.000000000000000000e+00
-2.923462879210232401e+00 -4.789237024176390967e-01 4.902912648604233481e-01 -4.469913882634306646e+01 0.000000000000000000e+00
-2.895541412667339998e+00 -3.565344601049624806e-01 3.614393038269178016e-01 -4.469220227091236808e+01 0.000000000000000000e+00
-2.599083205622946924e+00 -1.062218464625752090e-01 5.129910424693722576e-02 -4.468875657057129303e+01 0.000000000000000000e+00
-3.185910411027989664e+00 -6.097842623698310760e-01 6.481774494017380484e-01 -4.467837053068726760e+01 0.000000000000000000e+00
-2.259613180809388666e+00 -1.791594928489408378e-01 9.106160015548692144e-02 -4.464419885040671687e+01 0.000000000000000000e+00
-2.991558456066728766e+00 -5.584039561712258459e-01 5.661905054689069239e-01 -4.464336005261802853e+01 0.000000000000000000e+00
-3.150533924543256425e+00 -8.058299393060290861e-01 8.406338004574496203e-01 -4.463516612657553395e+01 0.000000000000000000e+00
-3.165931342487979361e+00 -3.383544655792087297e-01 3.645330360906520739e-01 -4.462451830789913032e+01 0.000000000000000000e+00
-2.006728896878203550e+00 -1.864534137790995749e-01 9.181090048202644738e-02 -4.458413869878733493e+01 0.000000000000000000e+00
-3.158653776368102850e+00 -3.165261059502959551e-01 3.377554924177200157e-01 -4.457726570162932234e+01 0.000000000000000000e+00
-1.877163337692060896e+00 -3.018184285666601907e-01 1.897844378820551237e-01 -4.457195782476198787e+01 0.000000000000000000e+00
-2.374364796464757177e+00 -5.663198651234426784e-01 5.120712509365129561e-01 -4.451659510931320796e+01 0.000000000000000000e+00
-2.141663971388266585e+00 -2.315326980873659013e-01 1.534322361758821418e-01 -4.450303445877774067e+01 0.000000000000000000e+00
-2.849108357887477627e+00 -3.833635242354483941e-01 3.687370795980369209e-01 -4.450185433841451044e+01 0.000000000000000000e+00
-3.204170275104881505e+00 -7.286880072177398526e-01 7.683519737934177973e-01 -4.450179256600771538e+01 0.000000000000000000e+00
-2.525085726347928272e+00 -5.899583486347698136e-01 5.618094290132193969e-01 -4.449443395485432262e+01 0.000000000000000000e+00
-2.286447316017501397e+00 -4.341055848551382268e-01 3.761993492156353036e-01 -4.447340251493508134e+01 0.000000000000000000e+00
-2.900797878142685526e+00 -1.085939746049791044e-01 8.921093331548057836e-02 -4.446842369113607418e+01 0.000000000000000000e+00
-3.099874588243912932e+00 -8.719724975298670522e-01 9.082756242146675651e-01 -4.445358589444681030e+01 0.000000000000000000e+00
-1.864157269018219321e+00 -1.778554122175374230e-01 5.019413507534077612e-02 -4.440346641486836887e+01 0.000000000000000000e+00
-2.856923984185633980e+00 -8.562430233568586457e-01 8.674211985988158347e-01 -4.438527114802554507e+01 0.000000000000000000e+00
-2.792252000273947932e+00 -5.425262910885795264e-01 5.421340358424524553e-01 -4.438346062626657584e+01 0.000000000000000000e+00
