# CurlyM omega_L omega_m logL logPrior
1.351464468727001877e+00 3.175724260646589636e-01 6.514525993032541651e-01 -5.551029060640267096e+06 0.000000000000000000e+00
-4.081871639119101225e+00 3.800128807455804836e-02 2.346510507626729802e-01 -2.327744095076783651e+03 0.000000000000000000e+00
2.659670701880122223e+00 5.590383775047953474e-01 1.154330110191870151e-01 -3.019437669663448469e+05 0.000000000000000000e+00
-1.631681887965940714e+00 -4.557263426778239146e-01 4.777243940849740245e-02 -2.051128433180291722e+03 0.000000000000000000e+00
-3.220117126383884809e+00 -6.797795084911715247e-01 1.041706883378580084e+00 -9.366200493813317735e+03 0.000000000000000000e+00
-1.551801395065484090e-01 1.709303637150392796e-01 1.530272381939412618e-01 -3.017224757288713226e+04 0.000000000000000000e+00
1.203100985009565971e+00 -3.051019748024270672e-01 5.468503944848595033e-01 -2.925234702451356497e+04 0.000000000000000000e+00
9.520669352451056611e-01 -1.134473021764374756e-01 8.130350159338329830e-01 -2.562857634696214809e+05 0.000000000000000000e+00
-1.422844661362143714e+00 -9.204567456767207556e-01 1.084847901836287987e+00 -5.425561929891519867e+03 0.000000000000000000e+00
-4.066186010168023834e+00 3.340505376559071982e-01 5.208930619893864522e-01 -3.709615269545922638e+05 0.000000000000000000e+00
2.597030668825366373e+00 -2.779415116018850440e-02 1.199935114269246594e-01 -2.407014156907178403e+04 0.000000000000000000e+00
-2.491756645473662157e+00 1.709438322111226372e-01 6.606207328281654689e-02 -6.199409664603379497e+03 0.000000000000000000e+00
1.788403673928001147e+00 1.324264998066547183e-01 1.805946347169346267e-01 -4.901207643246281077e+04 0.000000000000000000e+00
2.439379549777264344e+00 -9.137221205856361772e-01 5.190162688008290726e-01 -1.265699043479654165e+03 0.000000000000000000e+00
2.312516946122657568e+00 1.609538540142682050e-01 7.742513036126150716e-01 -2.655324880697006825e+06 0.000000000000000000e+00
2.374735164817106448e+00 -4.810726514494736428e-01 5.991913242899179481e-01 -2.388905199470225489e+04 0.000000000000000000e+00
1.953954805376098447e+00 7.316641838138020493e-01 2.185082567251957486e-01 -3.566313494791590609e+06 0.000000000000000000e+00
-3.895268701264375633e+00 -4.125918911543458023e-03 6.600617467950415929e-01 -6.927002378706264426e+04 0.000000000000000000e+00
-1.967005350323499435e+00 1.495916807716697605e-01 7.060212760607116333e-01 -5.331282828750333283e+05 0.000000000000000000e+00
2.033245802585404771e+00 1.140613337534451821e-01 6.611806957703492138e-02 -2.987828447209618389e+04 0.000000000000000000e+00
-3.117746492057286378e+00 -1.640536076388800779e-01 7.522275090819184884e-01 -5.333393696777596779e+04 0.000000000000000000e+00
2.516956695320374138e+00 -2.478938367033073353e-01 3.269618214652837418e-01 -2.167046886893106785e+04 0.000000000000000000e+00
-4.894613288581168398e+00 1.350670230297086605e-01 4.947319563468985382e-01 -4.199216466056497302e+04 0.000000000000000000e+00
-4.591098011066925721e+00 -9.640028459611700296e-01 3.606731543732647483e-01 -1.566118517463576973e+04 0.000000000000000000e+00
-2.726791484610926908e+00 -1.229114446396460947e-01 7.328806637836938753e-01 -6.916445290069036128e+04 0.000000000000000000e+00
1.563020687520761953e-01 -2.086174344558224814e-01 5.649831199124371039e-01 -3.729437151683742559e+04 0.000000000000000000e+00
1.190537663542509339e+00 -7.094493121124295643e-02 7.786624182529577887e-01 -2.800570414574905881e+05 0.000000000000000000e+00
-4.971193091111146600e+00 -4.675666169853666121e-01 6.398462436020265764e-01 -1.837069117842276000e+02 0.000000000000000000e+00
-1.509440848065498830e+00 3.400372818609831427e-03 1.769190575745019367e-02 -1.627527314546297248e+03 0.000000000000000000e+00
1.410872760582493335e+00 -6.821122923839394447e-01 7.505514043632137700e-01 -1.320763601126575304e+04 0.000000000000000000e+00
-7.400279131446505509e-01 9.479957357127331841e-02 4.828605016033311603e-01 -9.502507126862953010e+04 0.000000000000000000e+00
3.272133711109134202e-01 -9.842364219665225011e-01 7.489511297740877316e-01 -4.682491379563745113e+02 0.000000000000000000e+00
-1.647037087241117082e+00 -4.077409738613592682e-01 1.018814400894413996e+00 -8.966487254963249143e+04 0.000000000000000000e+00
-2.895980299610029896e+00 -9.536336000556191461e-01 2.403712329281009197e-01 -1.131862332881761540e+04 0.000000000000000000e+00
