Rank,Name,Country/Region,Overall,Research Quality,Industry Income,International Outlook,Research Environment,Teaching
1,Massachusetts Institute of Technology,United States,92.1,93.7,83.4,93.9,92.6,91.3
2,University of Cambridge,United Kingdom,91.5,75.0,81.5,81.1,98.5,94.2
3,University of Oxford,United Kingdom,91.1,77.9,68.3,79.7,98.0,93.8
4,Stanford University,United States,90.6,89.8,99.1,74.2,91.1,93.0
5,Harvard University,United States,89.4,80.3,67.9,74.6,94.5,92.8
6,Princeton University,United States,88.0,78.7,78.1,71.4,91.7,92.2
=7,UCL,United Kingdom,86.8,83.6,69.3,93.9,89.8,85.0
=7,"University of California, Berkeley",United States,86.8,81.9,81.0,72.7,93.1,85.9
9,The University of Chicago,United States,85.0,69.8,67.0,71.7,87.6,92.7
10,Yale University,United States,84.6,72.8,67.8,64.3,89.5,89.8
11,University of Edinburgh,United Kingdom,84.3,76.2,68.2,88.9,87.7,84.5
12,Columbia University,United States,83.1,70.3,74.9,73.2,87.4,86.6
13,LMU Munich,Germany,80.9,71.7,100.0,70.1,88.0,78.2
14,"University of California, Los Angeles",United States,80.7,74.8,68.1,63.2,86.3,82.0
15,University of Pennsylvania,United States,80.1,77.7,68.0,79.6,80.6,81.5
16,University of Toronto,Canada,79.6,72.1,68.3,75.7,86.2,77.6
17,New York University,United States,79.2,75.4,68.1,74.3,89.6,72.3
=18,Humboldt University of Berlin,Germany,76.5,64.5,73.1,71.2,85.4,73.8
=18,KU Leuven,Belgium,76.5,69.4,100.0,72.2,81.8,73.0
20,University of Michigan-Ann Arbor,United States,76.3,73.6,67.8,62.6,79.3,77.9
21,Leiden University,Netherlands,76.2,71.9,87.3,85.4,80.6,70.9
22,Paris Sciences et Lettres – PSL Research University Paris,France,74.8,73.6,100.0,78.2,69.6,77.7
23,University of Vienna,Austria,74.5,72.2,55.1,82.0,80.0,70.1
24,King’s College London,United Kingdom,73.9,74.2,67.7,79.6,73.8,73.4
25,National University of Singapore,Singapore,72.5,76.1,94.7,91.7,74.0,63.9
26,Delft University of Technology,Netherlands,72.3,84.5,100.0,95.4,63.7,69.3
=27,Lomonosov Moscow State University,Russian Federation,72.1,55.7,95.2,70.2,70.0,79.4
=27,Sorbonne University,France,72.1,53.7,70.3,68.0,77.5,75.2
29,Free University of Berlin,Germany,71.3,63.3,71.5,69.3,74.6,71.8
30,University of Amsterdam,Netherlands,71.1,81.8,67.9,91.0,70.7,63.5
31,London School of Economics and Political Science,United Kingdom,70.1,87.1,17.8,84.4,65.9,68.9
32,Cornell University,United States,68.9,85.1,67.9,75.5,64.1,65.9
=33,Sapienza University of Rome,Italy,68.8,54.7,90.0,46.4,72.4,73.6
=33,University of Tübingen,Germany,68.8,75.3,100.0,73.6,67.3,64.2
35,University of St Andrews,United Kingdom,68.2,71.4,48.7,73.9,66.1,69.3
36,Duke University,United States,67.7,77.1,100.0,59.0,66.8,64.0
37,Universität Heidelberg,Germany,67.2,67.0,82.8,75.0,65.4,66.2
38,Peking University,China,66.1,80.2,99.9,94.4,57.4,60.7
39,Tsinghua University,China,66.0,80.5,100.0,65.6,56.7,66.7
=40,Durham University,United Kingdom,65.9,77.9,50.2,77.9,60.9,65.0
=40,ETH Zurich,Switzerland,65.9,91.0,86.1,96.7,62.9,50.9
42,University of Helsinki,Finland,65.7,73.1,65.1,51.7,66.4,64.8
=43,University of Bologna,Italy,65.5,62.9,78.6,56.6,61.4,71.5
=43,University of Manchester,United Kingdom,65.5,74.6,80.7,82.6,61.0,61.8
45,The University of Sydney,Australia,65.4,75.0,85.4,80.9,64.5,57.7
46,Aarhus University,Denmark,64.9,83.0,100.0,64.7,64.2,55.6
47,Panthéon-Sorbonne University – Paris 1,France,64.8,54.1,26.8,56.7,70.7,67.8
48,University of Melbourne,Australia,63.9,73.4,97.1,84.8,63.6,53.7
49,Johns Hopkins University,United States,63.4,82.0,95.3,74.9,58.9,55.4
50,University of Notre Dame,United States,63.3,64.1,55.6,57.7,62.4,65.7
51,McGill University,Canada,63.0,72.0,76.0,86.9,59.8,56.6
52,Lancaster University,United Kingdom,62.9,79.8,61.8,81.3,57.1,58.2
53,University of British Columbia,Canada,62.2,76.3,68.6,89.6,63.0,49.7
54,University of York,United Kingdom,61.6,79.5,68.0,85.3,54.9,55.7
55,University of Texas at Austin,United States,60.9,72.4,74.7,34.8,64.1,57.2
56,University of Glasgow,United Kingdom,60.7,76.1,51.3,79.5,55.9,56.3
57,Brown University,United States,60.5,71.1,67.8,61.3,49.8,66.2
58,University of Pittsburgh-Pittsburgh campus,United States,60.1,72.3,72.0,39.5,60.2,58.3
59,University of Warwick,United Kingdom,59.9,76.3,49.7,77.9,54.3,56.1
=60,University of Copenhagen,Denmark,59.7,77.1,98.5,64.5,60.0,48.3
=60,University of Hong Kong,Hong Kong,59.7,84.9,78.0,94.6,49.8,51.0
=60,University of Oslo,Norway,59.7,77.1,83.3,78.0,54.8,52.0
63,University of Birmingham,United Kingdom,59.5,71.8,61.8,75.7,55.3,55.4
64,University of Leeds,United Kingdom,59.4,72.0,69.7,75.7,53.0,56.6
65,Australian National University,Australia,59.3,73.4,72.9,85.0,61.2,45.6
66,University of Groningen,Netherlands,59.2,81.7,92.3,93.7,53.3,46.4
67,The University of Tokyo,Japan,58.7,51.9,100.0,53.3,58.6,59.3
68,Universitat Autònoma de Barcelona (UAB),Spain,58.6,66.9,67.2,64.7,53.3,58.7
69,Ghent University,Belgium,58.1,71.8,99.2,64.6,56.7,49.3
70,Université Catholique de Louvain,Belgium,57.8,63.9,97.9,84.2,55.1,49.5
71,Indiana University,United States,57.4,68.6,79.3,57.1,48.4,60.0
72,Complutense University of Madrid,Spain,56.5,52.8,43.2,41.2,55.6,63.1
73,"University of California, San Diego",United States,56.3,83.6,100.0,58.7,42.3,55.2
74,Lund University,Sweden,56.2,77.8,99.1,72.9,52.2,44.8
75,Uppsala University,Sweden,56.0,67.9,97.9,64.1,52.2,50.0
76,University of Sheffield,United Kingdom,55.9,81.1,67.8,86.8,40.9,53.7
77,University of Barcelona,Spain,55.7,64.3,62.3,51.5,55.0,53.3
78,University of Washington,United States,55.6,84.7,67.8,72.2,41.5,53.7
79,University of Wisconsin-Madison,United States,55.5,71.3,79.7,54.9,46.8,55.9
80,University of Freiburg,Germany,55.4,72.3,100.0,64.9,50.3,48.1
81,Monash University,Australia,55.2,75.7,98.3,83.4,44.5,48.6
=82,SOAS University of London,United Kingdom,55.1,66.7,29.7,73.8,49.8,54.1
=82,University of Exeter,United Kingdom,55.1,80.1,33.4,78.7,48.6,48.6
